iis-bupa-cov_presolved,bound_gmic,bound_vpc,bound_all_cuts,num_gmic,gmic_gen_time,gmic_apply_time,num_vpc,vpc_gen_time,vpc_apply_time,
0,26.49721687754318111274,26.49721687754318111274,26.49721687754318111274,0,0.000000,0.187077,0,0.000000,0.187077,
1,26.57796607348382877944,27.17942294276145176468,27.17942294276147308096,151,0.01139399999999999961,0.25237700000000001799,153,9.70877299999999898716,0.20112900000000000222,
2,27.13753705183970055259,27.44757261856288721447,27.44757261856289787261,146,0.01760799999999999865,0.25560800000000000187,147,12.89053299999999957492,0.43476300000000001056,
3,27.34856306888059407356,27.54022464598869035513,27.54022464598869746055,141,0.02644699999999999829,0.33221400000000000929,148,16.78772599999999926013,0.58703299999999991599,
4,27.49292907894113824341,27.67902488036527586246,27.67902488036527941517,150,0.03495199999999999696,0.35896999999999990028,148,21.34306800000000237105,0.80013299999999976109,
5,27.62422636615968940532,27.77170824047341213259,27.77170824047339081631,150,0.04872900000000000842,0.42782499999999989981,148,21.78335799999999977672,0.60764300000000126545,
6,27.72458391573996649981,27.83965399849311239677,27.83965399849308752778,143,0.05569599999999999551,0.46756999999999981910,145,24.42734799999999495412,1.03513599999999961199,
7,27.78695797871493411435,27.86317332179456229824,27.86317332928347312304,160,0.06547599999999997866,0.58198299999999969501,162,32.40237699999998710609,0.84838599999999786405,
8,27.85186125990939132180,27.88653655293906652446,27.88653655293906297175,153,0.08744600000000002371,0.90234900000000006770,152,31.55649600000000987166,1.10336200000000062005,
9,27.86200569849434316438,27.90365001708673275971,27.90365001708671854885,151,0.09414299999999997670,0.54287499999999999645,152,37.75031799999999293505,1.56853700000000273462,
10,27.87970278554039893493,27.91759165796841912766,27.91759165796839425866,157,0.09637500000000004396,0.68522399999999983322,160,49.35887100000002192246,1.93824199999999535748,
11,27.89661001925189509620,27.93668000771733517240,27.93668000771734938326,150,0.11668099999999992367,0.93637300000000056599,155,49.64606199999997215855,1.98820200000000113505,
12,27.90981355288981191620,27.95757617803453598526,27.95757617803453598526,162,0.14851199999999997736,0.86132999999999970697,162,51.64900899999997818668,2.25812499999999971578,
13,27.92283261146092954164,27.96432510581507813185,27.96432510581506392100,166,0.17120100000000004759,0.86432899999999968088,169,65.61621100000002115848,1.20651100000000610635,
14,27.92997137685217623471,27.97338991493469251282,27.97338991493470672367,162,0.17493599999999986938,0.64403499999999880288,167,64.13558299999999690044,2.72367599999999754345,
15,27.94436232548423504340,27.97803732999896908495,27.97803733079668830896,163,0.17269700000000010043,1.03745999999999938268,165,72.91279100000002699744,2.14668900000000917316,
16,27.94588580937487876099,27.98431961652171651167,27.98431961652171295896,166,0.21268200000000003769,0.65953499999999998238,167,89.17765699999995376857,2.80074500000000625732,
17,27.95563322059255284557,27.98982612796093505381,27.98982612796093860652,172,0.22315899999999988523,0.94654799999999994498,173,86.03992300000004433969,3.02594299999999805095,
18,27.95933302507728868136,27.99913356131751740463,27.99913355978536699809,161,0.21091999999999999638,0.91292699999999982197,164,89.91678500000000440195,3.11423499999999364718,
19,27.97379127135087983902,28.00357839798162018496,28.00357839695161032978,158,0.25112699999999987810,1.52326000000000050250,162,100.48152299999992465018,3.22949199999999336796,
20,27.97824172632219585921,28.00845982976870729431,28.00845982976872861059,159,0.28865100000000021296,1.11614600000000052660,155,101.64380600000004051253,3.61699699999999779720,
21,27.99143248982538523251,28.01125873872038951617,28.01125873872038596346,165,0.31610199999999988307,2.07330800000000081695,166,112.26135299999987182673,3.23395899999999869578,
22,27.99620115011683552098,28.01264478000535618207,28.01264477884561543419,165,0.32584800000000013753,1.40892399999999895499,168,121.24168400000007750350,3.64251899999999295687,
23,27.99781611761409649830,28.01508773379988781471,28.01508771583978685271,164,0.33665300000000009106,1.05216099999999812553,165,120.23147100000005593756,4.19472799999999779175,
24,28.00403597808383793222,28.01796229823735728814,28.01796229823737860443,165,0.35025199999999978573,1.23706900000000175055,163,124.91929600000003119931,4.09041400000000976434,
25,28.00787556536008082730,28.02113985274462848452,28.02113985274464980080,164,0.38159299999999962694,1.43508800000000036334,168,154.73406899999986308103,5.24180300000000443106,
26,28.01128566478766757086,28.02457911957959524329,28.02457911957960945415,167,0.39923100000000033560,2.18783399999999872421,178,143.22340099999996709812,6.14038199999998823841,
27,28.01498100891183185013,28.02741622413136468595,28.02741622413136113323,169,0.42701299999999964285,1.81957399999999935858,174,164.96940400000016779813,5.40255200000001423177,
28,28.01830121947055829423,28.03100621499739375508,28.03100621499740441323,173,0.43918000000000034788,1.86639700000000274827,172,159.13787800000000061118,5.56836800000002085653,
29,28.02242479271513531103,28.03544038728731990773,28.03544038728730569687,164,0.47573299999999996146,2.31807999999999836405,169,190.90086399999972854857,6.50896999999997660780,
30,28.02316786489625854983,28.03829748294097967687,28.03829748294097257144,168,0.49329499999999981696,1.39790899999999851389,177,187.38031200000023090979,5.22666099999997868508,
31,28.02443892293999994081,28.04004619437496614864,28.04004619437496970136,167,0.50536600000000042598,1.68776899999999940860,173,189.14226499999995212420,5.90364999999997053237,
32,28.02493459829740274358,28.04175691190775410178,28.04175691190775765449,174,0.53861699999999945732,1.35288699999999550982,181,199.79624999999987267074,6.15292299999998704152,
33,28.02572817031935770160,28.04589675657333103231,28.04589675657334524317,171,0.56263500000000021828,1.65007500000000106866,174,174.10544000000027153874,7.01457299999998440398,
34,28.02893207019161181393,28.04921335412870675441,28.04921335412870675441,174,0.58831699999999997885,2.63811100000000209320,179,192.16760299999987182673,6.35064700000009452197,
35,28.03210038830098227436,28.05188648295230890994,28.05188648295230890994,168,0.57977299999999942770,3.52934400000000181308,171,276.00114799999983006273,7.22457500000007257768,
36,28.03874804411993082454,28.05510720400371482697,28.05510720400371482697,165,0.60558499999999959584,3.59845099999999717966,175,242.92585800000006202026,8.55815000000006875780,
37,28.04171974653792887011,28.05754161091402920647,28.05754161091401854833,172,0.62008600000000058117,2.51527199999999595548,182,233.31834299999991344521,7.68119599999999991269,
38,28.04321121611557288134,28.06006486915243414160,28.06006486955935130823,170,0.66919500000000020634,2.91394599999999570628,179,259.24157700000023396569,7.80883700000003955211,
39,28.04752670781009982193,28.06246660423077798896,28.06246660423076733082,175,0.66748600000000024579,3.05915000000000247837,181,256.16158699999959935667,7.07736099999999623833,
40,28.04980382050484521983,28.06865778404895905851,28.06865778404898037479,168,0.67961999999999989086,2.82864599999999910551,178,270.39307999999982712325,11.18429900000000998261,
41,28.05409158942249447932,28.07027661994542455659,28.07027661994541389845,167,0.68678699999999892611,3.85170099999999848706,174,252.19328500000028725481,6.41135400000007393828,
42,28.06005544358235326285,28.07170750102885392607,28.07170750102886103150,167,0.72006900000000051421,5.14301600000000291857,178,321.75466099999994185055,8.33933899999999539432,
43,28.06098509477705960080,28.07303688226508597836,28.07303688239162298146,167,0.69621000000000066166,3.57595799999999996999,182,286.41708999999991647201,9.15278499999999439751,
44,28.06359472316106717926,28.07501208930618474824,28.07501208930616343196,170,0.76027999999999984482,4.45276699999999436841,187,338.24936700000034761615,9.76201200000002700108,
