bm23_presolved,bound_gmic,bound_vpc,bound_all_cuts,num_gmic,gmic_gen_time,gmic_apply_time,num_vpc,vpc_gen_time,vpc_apply_time,
0,20.57092176323557097817,20.57092176323557097817,20.57092176323557097817,0,0.000000,0.000248,0,0.000000,0.000248,
1,22.82830191756425719518,23.84116829644024804225,24.08911717953996856068,6,0.00007499999999999999,0.00024499999999999999,6,0.01074199999999999981,0.00020300000000000000,
2,23.98763621551104918694,24.49273372217541933082,24.50190443225123004822,6,0.00005500000000000000,0.00023200000000000000,7,0.01405299999999999778,0.00031499999999999996,
3,24.48237089638753971599,24.62144461042436915932,24.76971033516987930057,9,0.00006400000000000001,0.00023900000000000001,9,0.01624699999999999755,0.00027599999999999999,
4,24.84520119782682101572,24.85656740872518710717,24.92579408235966553775,11,0.00008099999999999996,0.00020199999999999992,11,0.02043100000000000471,0.00035000000000000005,
5,24.93351249606125108471,25.34629003605364161444,25.36594386135566381313,11,0.00008899999999999999,0.00027699999999999990,12,0.02733399999999999719,0.00041200000000000004,
6,25.29424242114631482536,25.64925877716323299182,25.64925877716323654454,16,0.00012799999999999997,0.00052700000000000012,13,0.03234199999999999575,0.00055699999999999934,
7,25.58629054864283602910,25.72406984944332819509,25.75640561280203755246,12,0.00011500000000000008,0.00054699999999999996,13,0.03721000000000000696,0.00069099999999999891,
8,25.75497475169873240475,25.74764925691360062388,25.79637143372635676997,11,0.00011999999999999999,0.00041700000000000027,10,0.03830200000000000271,0.00064599999999999901,
9,25.81589974296240441731,25.90342765022008464371,25.91578741541855990249,9,0.00011600000000000000,0.00041499999999999957,10,0.04012699999999999600,0.00097500000000000017,
10,25.92923627071655801046,25.98736762286998214222,26.00046933147512362439,16,0.00018800000000000002,0.00055400000000000024,13,0.04718299999999997496,0.00053399999999999975,
11,25.96809968696825521306,26.06291843459347745693,26.06758255867631035585,14,0.00016699999999999983,0.00045499999999999968,12,0.05024600000000001288,0.00122399999999999939,
12,26.05853021186519313801,26.07736458382938238287,26.10135073996153209919,15,0.00019700000000000013,0.00086300000000000005,11,0.05519099999999999007,0.00064900000000000027,
13,26.11015830803638948510,26.11416683292356566426,26.16139699833011178498,16,0.00021499999999999991,0.00074900000000000053,14,0.05909199999999997788,0.00091700000000000115,
14,26.13131690583010069417,26.18574241036308691832,26.20874307001976077913,13,0.00019500000000000008,0.00051599999999999997,13,0.11270200000000002438,0.00104199999999999779,
15,26.19437466641909395548,26.25609147609175408888,26.25972048062646635458,15,0.00024299999999999994,0.00112500000000000013,17,0.13476500000000002366,0.00152200000000000252,
16,26.22768450677732943177,26.29190453199965205044,26.29190453199965205044,15,0.00025500000000000002,0.00130100000000000094,17,0.13378499999999993175,0.00157999999999999807,
17,26.27727560517632809933,26.34715435092758184510,26.34715435092758184510,13,0.00026399999999999991,0.00142200000000000139,17,0.15009600000000000719,0.00169699999999999712,
18,26.32392191974692963186,26.37341315798864016529,26.37401356898933357797,14,0.00026600000000000018,0.00113799999999999839,15,0.16559599999999996545,0.00103400000000000020,
19,26.36172083022685797005,26.43940276254934218514,26.43941874653012291674,13,0.00028100000000000000,0.00117599999999999996,15,0.18295499999999997875,0.00187800000000000467,
20,26.39176635177678775790,26.45623861987554548136,26.46862498512188111022,12,0.00029999999999999992,0.00090700000000000155,15,0.15163999999999999702,0.00095699999999999952,
21,26.44081464889077182079,26.51134291730071268489,26.51256952449559634033,13,0.00026800000000000001,0.00112299999999999900,14,0.18022399999999993980,0.00138000000000000622,
22,26.50073197718609563367,26.56281379785229646018,26.56281379785229646018,13,0.00031399999999999961,0.00096800000000000011,12,0.19934000000000007269,0.00160200000000000620,
23,26.50133813665520321479,26.58978158381378520403,26.59087377739567514823,13,0.00031899999999999984,0.00091399999999999815,15,0.21047800000000016496,0.00185599999999999654,
24,26.54995539319751074459,26.62415673059131648870,26.62415673059132004141,16,0.00038700000000000019,0.00166000000000000175,16,0.21812899999999979528,0.00261899999999999633,
25,26.59406855497916666309,26.69651619909091166960,26.70424844238508654826,17,0.00043099999999999996,0.00113999999999999865,17,0.25684500000000021203,0.00352299999999999836,
26,26.66432480527964443695,26.74253852125249508731,26.74695530905201579230,13,0.00033800000000000063,0.00180599999999999858,14,0.24635299999999960008,0.00272000000000000020,
27,26.74129336984344362804,26.86820191342929931011,26.86820191342930286282,14,0.00037299999999999920,0.00187199999999999867,14,0.21935600000000032850,0.00280299999999999994,
28,26.84706347650535818161,26.89210182119246539401,26.89969474310746733181,14,0.00040499999999999998,0.00185399999999999801,13,0.24416499999999974335,0.00220999999999998975,
29,26.90221831315996681155,26.91581345948636538878,26.92108889733797738586,13,0.00037000000000000054,0.00140500000000000000,17,0.35872599999999987830,0.00353300000000000836,
30,26.91592786498805267570,26.94845162763732915323,26.94845339908271242280,18,0.00056699999999999980,0.00207200000000000092,16,0.36321800000000026287,0.00336299999999997712,
31,26.94184946564537952440,26.95022585335444986754,26.96084584680021833947,15,0.00046199999999999974,0.00250200000000000075,14,0.27680899999999963867,0.00224499999999999700,
32,26.95738989258249063141,26.97928844707867668262,26.98133091195387933681,15,0.00048999999999999998,0.00229400000000000090,14,0.30251699999999992485,0.00366400000000000059,
33,26.99066171421070947645,26.98415513189077685752,27.00032192318862911407,14,0.00050099999999999971,0.00177299999999999680,15,0.40693900000000038375,0.00305199999999999916,
