d10200_presolved,bound_gmic,bound_vpc,bound_all_cuts,num_gmic,gmic_gen_time,gmic_apply_time,num_vpc,vpc_gen_time,vpc_apply_time,
0,12425.58300545183374197222,12425.58300545183374197222,12425.58300545183374197222,0,0.000000,0.046616,0,0.000000,0.046616,
1,12425.60536521293215628248,12425.58300545183374197222,12425.60536521293215628248,144,0.01921999999999999750,0.14443499999999998007,0,0.00000000000000000000,0.00000000000000000000,
2,12425.61832257277092139702,12425.58300545183374197222,12425.61832257277092139702,134,0.02796800000000000327,0.15188500000000001999,0,0.00000000000000000000,0.00000000000000000000,
3,12425.63235697779964539222,12425.58300545183374197222,12425.63235697779964539222,146,0.04073199999999999737,0.21241100000000001646,0,0.00000000000000000000,0.00000000000000000000,
4,12425.63523712725327641238,12425.58300545183374197222,12425.63523712725327641238,150,0.05302599999999998981,0.19566699999999992432,0,0.00000000000000000000,0.00000000000000000000,
5,12425.63840318964503239840,12425.58300545183374197222,12425.63840318964503239840,144,0.06417800000000001281,0.24746900000000005004,0,0.00000000000000000000,0.00000000000000000000,
6,12425.64067742167026153766,12425.58300545183374197222,12425.64067742167026153766,144,0.07488300000000000511,0.28145500000000001073,0,0.00000000000000000000,0.00000000000000000000,
7,12425.64162115643375727814,12425.58300545183374197222,12425.64162115643375727814,148,0.08793599999999995864,0.20369299999999990192,0,0.00000000000000000000,0.00000000000000000000,
8,12425.64270992786259739660,12425.58300545183374197222,12425.64270992786259739660,139,0.09680800000000000516,0.41498199999999996201,0,0.00000000000000000000,0.00000000000000000000,
9,12425.64365264407388167456,12425.58300545183374197222,12425.64365264407388167456,147,0.11376800000000003577,0.37624199999999996535,0,0.00000000000000000000,0.00000000000000000000,
10,12425.64435561161371879280,12425.58300545183374197222,12425.64435561161371879280,148,0.12866899999999992232,0.35959200000000013375,0,0.00000000000000000000,0.00000000000000000000,
11,12425.64467916063040320296,12425.58300545183374197222,12425.64467916063040320296,144,0.13730200000000003513,0.48335999999999978982,0,0.00000000000000000000,0.00000000000000000000,
12,12425.64527772837391239591,12425.58300545183374197222,12425.64527772837391239591,145,0.14735299999999995624,0.33739400000000019375,0,0.00000000000000000000,0.00000000000000000000,
13,12425.64560536242788657546,12425.58300545183374197222,12425.64560536242788657546,136,0.15530000000000010463,0.78695700000000012864,0,0.00000000000000000000,0.00000000000000000000,
14,12425.64581586709027760662,12425.58300545183374197222,12425.64581586709027760662,144,0.18369899999999983464,0.45450800000000057821,0,0.00000000000000000000,0.00000000000000000000,
15,12425.64599945090776600409,12425.58300545183374197222,12425.64599945090776600409,149,0.19515000000000015667,0.43236000000000007759,0,0.00000000000000000000,0.00000000000000000000,
16,12425.64613848172848520335,12425.58300545183374197222,12425.64613848172848520335,140,0.20174199999999986588,0.46240099999999983993,0,0.00000000000000000000,0.00000000000000000000,
17,12425.64633325259455887135,12425.58300545183374197222,12425.64633325259455887135,136,0.20035000000000002807,0.50708399999999986818,0,0.00000000000000000000,0.00000000000000000000,
18,12425.64652420569109381177,12425.58300545183374197222,12425.64652420569109381177,138,0.20829600000000003668,0.54342100000000037596,0,0.00000000000000000000,0.00000000000000000000,
19,12425.64660074731182248797,12425.58300545183374197222,12425.64660074731182248797,135,0.21556499999999978456,0.52430600000000016081,0,0.00000000000000000000,0.00000000000000000000,
