bell5_presolved,bound_gmic,bound_vpc,bound_all_cuts,num_gmic,gmic_gen_time,gmic_apply_time,num_vpc,vpc_gen_time,vpc_apply_time,
0,8951799.92812973260879516602,8951799.92812973260879516602,8951799.92812973260879516602,0,0.000000,0.000387,0,0.000000,0.000387,
1,8953821.66736270114779472351,8954078.10350351408123970032,8954950.61489957943558692932,10,0.00009899999999999999,0.00019500000000000000,7,0.00581599999999999999,0.00012999999999999999,
2,8955167.18933458253741264343,8955024.03285422734916210175,8955479.18832345865666866302,7,0.00004500000000000001,0.00015600000000000000,8,0.00718199999999999915,0.00016400000000000003,
3,8955571.11509311571717262268,8955211.52173772826790809631,8955659.65430620498955249786,6,0.00005800000000000000,0.00020699999999999999,8,0.00879200000000000120,0.00019399999999999995,
4,8956331.60349335148930549622,8957020.59130111336708068848,8957287.79990627057850360870,7,0.00006899999999999997,0.00024700000000000004,7,0.01075200000000000114,0.00044600000000000000,
5,8957378.82873669639229774475,8957872.43910920806229114532,8957958.80640049465000629425,6,0.00012100000000000001,0.00044199999999999990,8,0.01127699999999999536,0.00049599999999999991,
6,8957404.87671605311334133148,8957952.63271063379943370819,8958457.50727337226271629333,10,0.00013599999999999994,0.00022800000000000012,4,0.01589200000000000335,0.00030300000000000032,
7,8958183.39185487851500511169,8958839.86515050381422042847,8959191.91502241231501102448,9,0.00012800000000000008,0.00045399999999999998,8,0.01684499999999999886,0.00053899999999999955,
8,8958639.00692300871014595032,8959238.96505798399448394775,8959309.47483314387500286102,11,0.00017899999999999991,0.00060800000000000003,11,0.02012799999999999312,0.00051799999999999936,
9,8959071.84953008592128753662,8959276.07908676378428936005,8959458.88865069858729839325,9,0.00016399999999999997,0.00041099999999999991,13,0.02431200000000000028,0.00058700000000000072,
10,8959320.84676036983728408813,8959513.06012472324073314667,8959701.52891472354531288147,11,0.00021000000000000012,0.00067799999999999978,8,0.02282899999999998819,0.00074600000000000014,
11,8959578.58955140598118305206,8959617.66016816161572933197,8959757.95419499836862087250,7,0.00016699999999999983,0.00044800000000000005,11,0.02372300000000002185,0.00059299999999999978,
12,8959731.04427865892648696899,8959736.55073969438672065735,8959782.48390613496303558350,11,0.00021900000000000001,0.00043099999999999996,11,0.02807699999999999085,0.00093699999999999686,
