bell5_presolved,bound_gmic,bound_vpc,bound_all_cuts,num_gmic,gmic_gen_time,gmic_apply_time,num_vpc,vpc_gen_time,vpc_apply_time,
0,8951799.92812973260879516602,8951799.92812973260879516602,8951799.92812973260879516602,0,0.000000,0.000335,0,0.000000,0.000335,
1,8953821.66736270114779472351,8954761.67183813452720642090,8955382.93728673830628395081,10,0.00009200000000000000,0.00018999999999999998,5,0.00723499999999999924,0.00017899999999999999,
2,8955477.20998245663940906525,8958950.36401543766260147095,8959312.40478920564055442810,3,0.00003799999999999999,0.00011000000000000002,7,0.00950600000000000056,0.00018300000000000000,
3,8955606.52643891796469688416,8960487.02367806807160377502,8960499.53143675252795219421,9,0.00008899999999999999,0.00014300000000000001,10,0.02000799999999999801,0.00028000000000000008,
4,8958961.54332888126373291016,8961085.13400601781904697418,8961132.18104361928999423981,8,0.00011199999999999998,0.00026700000000000004,9,0.02264100000000000140,0.00023899999999999963,
5,8958961.54332888126373291016,8961413.89917177893221378326,8961428.57873858883976936340,9,0.00012300000000000001,0.00011900000000000007,10,0.02563899999999999513,0.00057099999999999989,
6,8960788.34950450435280799866,8961583.96281623840332031250,8961597.68315890803933143616,10,0.00014000000000000004,0.00049800000000000007,8,0.03992600000000000315,0.00061200000000000056,
7,8960791.74552606604993343353,8962302.76271920278668403625,8962373.08048639632761478424,8,0.00013999999999999993,0.00028999999999999989,11,0.03553499999999999714,0.00080400000000000003,
8,8960846.45490554161369800568,8962837.59675947763025760651,8962839.13232890143990516663,10,0.00016899999999999999,0.00054699999999999996,10,0.03741600000000000481,0.00081499999999999975,
9,8962277.92538807913661003113,8963170.63926928117871284485,8963177.65060612000524997711,14,0.00024799999999999996,0.00082199999999999981,11,0.05002499999999998614,0.00099400000000000009,
10,8962993.46034998819231987000,8963170.68281382694840431213,8963209.63810492679476737976,4,0.00011000000000000007,0.00046500000000000014,9,0.04639200000000001656,0.00036100000000000021,
11,8963210.40686664357781410217,8963280.55923199281096458435,8963307.88803222030401229858,6,0.00017700000000000007,0.00063600000000000028,8,0.05105599999999999028,0.00103499999999999773,
12,8963227.58784562349319458008,8963304.96972075663506984711,8963335.46075606718659400940,7,0.00017499999999999981,0.00060399999999999950,9,0.06026700000000001500,0.00079500000000000057,
13,8963250.58406652696430683136,8963363.82230378687381744385,8963369.99416972696781158447,4,0.00017500000000000003,0.00061999999999999989,10,0.06543599999999999417,0.00122099999999999986,
14,8963350.20841949433088302612,8963372.75506866164505481720,8963380.30720282159745693207,6,0.00019300000000000025,0.00076899999999999972,10,0.07313899999999995405,0.00054599999999999788,
15,8963369.13969617523252964020,8963377.52596874535083770752,8963390.42425547167658805847,6,0.00017799999999999977,0.00055499999999999994,7,0.07560000000000000053,0.00061599999999999849,
16,8963390.57417047768831253052,8963389.54175569489598274231,8963395.24113033898174762726,8,0.00022099999999999984,0.00086199999999999992,12,0.09860400000000002496,0.00111999999999999600,
17,8963392.20629076473414897919,8963398.30258135311305522919,8963400.39499066770076751709,10,0.00027300000000000024,0.00098600000000000076,11,0.19819799999999998530,0.00181800000000000017,
18,8963397.96558751165866851807,8963398.32104568742215633392,8963401.50880116038024425507,9,0.00029199999999999973,0.00093799999999999960,10,0.20518499999999995076,0.00071099999999999636,
19,8963399.37051200866699218750,8963399.19387343153357505798,8963402.01778594218194484711,8,0.00027500000000000007,0.00068199999999999858,10,0.18413900000000005264,0.00139899999999999747,
