mas284_presolved,bound_gmic,bound_vpc,bound_all_cuts,num_gmic,gmic_gen_time,gmic_apply_time,num_vpc,vpc_gen_time,vpc_apply_time,total time gmic,total time vpc
0,86195.86303,86195.86303,86195.86303,0,0,0.00344,0,0,0.00344,0.00344,0.00344
1,86241.00223,86772.28417,86772.28417,20,0.000751,0.00331,18,0.366918,0.002017,0.007501,0.372375
2,86752.15963,86978.77181,86978.77181,20,0.000717,0.002109,20,0.388951,0.002056,0.010327,0.763382
3,86962.49793,87059.30302,87059.30302,26,0.00112,0.003286,26,0.519947,0.003488,0.014733,1.286817
4,87035.50795,87115.69208,87115.69208,20,0.00101,0.002625,19,0.554552,0.005446,0.018368,1.846815
5,87085.59448,87148.29338,87148.29338,25,0.001386,0.003892,24,0.461157,0.00493,0.023646,2.312902
6,87117.79227,87198.55586,87198.55586,25,0.001557,0.004176,28,0.834544,0.006878,0.029379,3.154324
7,87169.77604,87226.40546,87226.40546,29,0.002075,0.004807,32,0.919653,0.005032,0.036261,4.079009
8,87214.83728,87243.22104,87243.22104,24,0.001936,0.005049,26,0.815567,0.007607,0.043246,4.902183
9,87232.82463,87249.78925,87249.78925,26,0.002317,0.004647,25,1.231009,0.01007,0.05021,6.143262
10,87235.85339,87260.86407,87260.86407,29,0.002755,0.007764,31,1.344631,0.011511,0.060729,7.499404
11,87243.77639,87265.24388,87265.3336,27,0.002803,0.007288,30,1.2328,0.012299,0.07082,8.744503
12,87254.23221,87270.36259,87270.36259,29,0.003244,0.007843,29,1.257668,0.013956,0.081907,10.016127
13,87256.9607,87277.07117,87277.07117,29,0.003576,0.007527,29,1.274435,0.013965,0.09301,11.304527
14,87263.23867,87287.29756,87287.29756,25,0.00333,0.008531,27,1.498661,0.019412,0.104871,12.8226
15,87266.78595,87291.74247,87291.74247,27,0.003802,0.011516,31,1.630089,0.017542,0.120189,14.470231
16,87272.38146,87297.31217,87297.31217,29,0.004336,0.014574,27,1.52761,0.025035,0.139099,16.022876
17,87293.03859,87305.20995,87305.20995,26,0.004005,0.011667,25,1.540569,0.022858,0.154771,17.586303
18,87296.39778,87310.66764,87310.66764,28,0.00473,0.008664,30,1.593342,0.021185,0.168165,19.20083
19,87300.86527,87316.3274,87316.3274,29,0.005078,0.012187,29,2.094077,0.036149,0.18543,21.331056
20,87303.47156,87324.74887,87324.74887,30,0.005452,0.010873,32,2.265588,0.024824,0.201755,23.621468
21,87305.48806,87331.67275,87331.67275,28,0.005352,0.007651,29,2.221771,0.030066,0.214758,25.873305
22,87310.14549,87334.1251,87334.30381,26,0.005248,0.011077,24,1.999928,0.020144,0.231083,27.893377
23,87314.6859,87337.18547,87337.18547,25,0.005339,0.014613,25,2.394167,0.02849,0.251035,30.316034
24,87316.9968,87339.37252,87339.37385,31,0.006965,0.016314,30,2.499453,0.032262,0.274314,32.847749
25,87325.07996,87341.79202,87341.79202,33,0.007309,0.014631,34,2.987911,0.034019,0.296254,35.869679
26,87326.85002,87342.46029,87342.51519,29,0.00671,0.010589,32,2.917571,0.027272,0.313553,38.814522
27,87330.59416,87345.07117,87345.07117,31,0.007361,0.014065,32,3.065673,0.066598,0.334979,41.946793
28,87335.62697,87346.79108,87346.79435,30,0.007388,0.018385,31,3.097269,0.039276,0.360752,45.083338
29,87339.49357,87354.64823,87354.64823,27,0.006967,0.022213,33,3.822907,0.044979,0.389932,48.951224
30,87344.30406,87360.61252,87360.61252,35,0.009634,0.020921,35,3.312605,0.055667,0.420487,52.319496
31,87351.84858,87361.93897,87361.98233,28,0.00772,0.029576,29,3.290124,0.046145,0.457783,55.655765
32,87353.53422,87364.09905,87364.09905,30,0.00857,0.022422,32,4.062193,0.049727,0.488775,59.767685
33,87357.05873,87364.61626,87364.72928,32,0.009305,0.029578,30,4.171975,0.056127,0.527658,63.995787
34,87361.27587,87368.58993,87368.58993,31,0.010043,0.021765,32,4.971322,0.06037,0.559466,69.027479
35,87363.62818,87370.93542,87370.93542,29,0.00923,0.035736,28,4.620821,0.079019,0.604432,73.727319
36,87363.95424,87374.00563,87374.00563,30,0.009489,0.024937,35,4.511675,0.083716,0.638858,78.32271
37,87366.3763,87378.28746,87378.28746,32,0.010354,0.025378,35,4.882004,0.059719,0.67459,83.264433
38,87367.94391,87379.78382,87379.78382,28,0.010016,0.028216,29,4.270244,0.091486,0.712822,87.626163
39,87375.55398,87383.24306,87383.24306,29,0.010337,0.039139,27,5.315012,0.084456,0.762298,93.025631
40,87377.77116,87383.91263,87383.98229,29,0.011159,0.026632,28,4.634569,0.077512,0.800089,97.737712
41,87380.39165,87388.00839,87388.00839,31,0.012336,0.032104,31,5.27085,0.111283,0.844529,103.119845
42,87385.27776,87388.64941,87388.83653,31,0.01233,0.038061,31,5.862648,0.053936,0.89492,109.036429
43,87386.58286,87389.84102,87389.84102,31,0.012664,0.036568,34,6.061272,0.091161,0.944152,115.188862
44,87387.38958,87391.0398,87391.05026,31,0.012548,0.042038,32,6.179147,0.118393,0.998738,121.486402
45,87388.3029,87392.9251,87392.9251,29,0.012944,0.044928,38,6.870444,0.151144,1.05661,128.50799
46,87389.14341,87393.49848,87393.72024,33,0.013949,0.039262,33,7.06833,0.093754,1.109821,135.670074
47,87389.60848,87395.93712,87395.93712,30,0.013912,0.039677,34,6.878028,0.15797,1.16341,142.706072
48,87389.98116,87396.36082,87396.45824,33,0.015394,0.052618,32,6.958585,0.102914,1.231422,149.767571
49,87391.17175,87398.2468,87398.2468,29,0.01392,0.05354,31,7.30964,0.162427,1.298882,157.239638
50,87392.51066,87399.4147,87399.4147,33,0.014886,0.052925,34,7.89828,0.150158,1.366693,165.288076
51,87393.94936,87399.72377,87399.97194,35,0.016422,0.051268,37,8.311013,0.120683,1.434383,173.719772
52,87396.239,87400.08421,87400.35362,35,0.016566,0.049506,38,8.565708,0.115904,1.500455,182.401384
53,87397.37901,87402.11108,87402.11108,37,0.01883,0.045715,40,9.01983,0.180026,1.565,191.60124
54,87398.26052,87403.82763,87403.82763,34,0.017148,0.053886,34,9.647442,0.179305,1.636034,201.427987
55,87398.28106,87404.6777,87404.6777,32,0.017117,0.026546,37,9.843781,0.148585,1.679697,211.420353
56,87399.50257,87405.9002,87405.9002,36,0.018594,0.045586,39,11.250483,0.151505,1.743877,222.822341
57,87400.65636,87407.10261,87407.10261,33,0.017324,0.047085,37,8.998132,0.213372,1.808286,232.033845
58,87406.27463,87408.06706,87408.06706,33,0.018275,0.073119,37,10.579043,0.231365,1.89968,242.844253
59,87406.71594,87408.98458,87408.98458,38,0.020018,0.056164,38,10.347674,0.195889,1.975862,253.387816
60,87407.45781,87409.24122,87409.27096,30,0.019076,0.055649,35,9.524481,0.173512,2.050587,263.085809
61,87407.66323,87410.25769,87410.25769,33,0.018299,0.056584,35,10.151701,0.243188,2.12547,273.480698
62,87408.15978,87410.62828,87410.62828,40,0.022658,0.057631,47,11.741781,0.17506,2.205759,285.397539
