mas284_presolved,bound_gmic,bound_vpc,bound_all_cuts,num_gmic,gmic_gen_time,gmic_apply_time,num_vpc,vpc_gen_time,vpc_apply_time,
13,86904.44622852477186825126,86963.07068192512087989599,86963.07068192519363947213,29,0.00352200000000000082,0.00749999999999999972,26,0.61554200000000047766,0.01949099999999998056,
14,86936.29155936166353058070,86970.95371736190281808376,86970.95371736190281808376,27,0.00357100000000000126,0.01088499999999999884,27,0.68432799999999982532,0.01956600000000002781,
15,86942.98721722270420286804,86971.69165013018937315792,86976.04428383224876597524,31,0.00430199999999999680,0.00669999999999999762,30,0.78514799999999951297,0.01064999999999993729,
16,86944.78537484156549908221,86974.54358562451670877635,86977.34135605681512970477,31,0.00458100000000000174,0.00598499999999999033,29,0.88997700000000001808,0.02077700000000004543,
17,86953.95528734360414091498,86980.97669455334835220128,86981.87226399661449249834,29,0.00450799999999999812,0.01024800000000000710,31,0.94970100000000012841,0.03456999999999998963,
18,86956.37262419007311109453,86985.79331636879942379892,86985.81055527729040477425,28,0.00464799999999999935,0.01218200000000001226,33,1.17602399999999995828,0.03348300000000004051,
19,86957.95012925044284202158,86986.21877145110920537263,86988.37913169064268004149,33,0.00564300000000000218,0.00998199999999999088,29,1.05362200000000072464,0.02749099999999993216,
20,86958.21577431134937796742,87001.94696741271764039993,87001.94696741271764039993,29,0.00547999999999999876,0.00686100000000000598,31,1.22065499999999893532,0.03888700000000011592,
21,86976.31939351127948611975,87007.10826001275563612580,87007.10826001275563612580,29,0.00558299999999999769,0.01231200000000000350,27,1.18919099999999922090,0.03551199999999998802,
22,86991.89235956197080668062,87014.35598050736007280648,87014.35598050736007280648,26,0.00547600000000000864,0.01465099999999999736,28,1.28496699999999997033,0.03424599999999999866,
23,86994.72493975449469871819,87018.41469928142032586038,87018.44286368125176522881,27,0.00593799999999999883,0.01264599999999999058,29,1.41735500000000058662,0.03514299999999992430,
24,86998.32050776519463397563,87025.59861024723795708269,87025.59861024725250899792,29,0.00667599999999998750,0.01298199999999999354,27,1.33354399999999984061,0.04561700000000001864,
25,87012.93534603971056640148,87034.78853238618467003107,87034.78853238618467003107,29,0.00699299999999999922,0.01832900000000001195,30,1.51436400000000048749,0.04249800000000014677,
26,87021.14261038141557946801,87039.68453727145970333368,87039.68453727151791099459,31,0.00725800000000000056,0.01782099999999997575,29,1.24368000000000122895,0.03913300000000008438,
27,87033.44687656125461217016,87042.70729960760218091309,87042.93170330242719501257,32,0.00758999999999999952,0.02497100000000002096,30,1.37306299999999836814,0.03577299999999983271,
28,87036.71800444732070900500,87045.48101955396123230457,87045.72021068753383588046,29,0.00786100000000000687,0.01845400000000002594,31,1.56052299999999988245,0.04925000000000023803,
29,87042.42559216219524387270,87046.77541081351228058338,87046.88353878181078471243,32,0.00823100000000000220,0.02797499999999997211,32,1.77540199999999970260,0.04842000000000012960,
30,87042.81356448732549324632,87047.67430159171635750681,87047.85661250753037165850,31,0.00844799999999998330,0.01681500000000002437,32,1.89942500000000080718,0.03128000000000019654,
31,87044.03700841066893190145,87052.52441789093427360058,87052.52441789089061785489,33,0.00912900000000002598,0.02141299999999995984,33,2.06802799999999820102,0.06679600000000007753,
32,87046.40697218841523863375,87053.54635714506730437279,87053.54635714503820054233,33,0.01015899999999997361,0.02428299999999999903,32,2.18737199999999987199,0.06521700000000008046,
33,87046.40697218840068671852,87055.24131135386414825916,87055.39593786801560781896,31,0.00921900000000000497,0.01159499999999996644,34,1.87492699999999956617,0.07258199999999970231,
34,87046.53382908779894933105,87055.77785983702051453292,87056.49916015868075191975,32,0.00978700000000001791,0.01784299999999999775,30,1.98226500000000172008,0.03958899999999943020,
35,87046.96373999548086430877,87058.78329525071603711694,87059.06121996739238966256,30,0.00947599999999998444,0.01905200000000001337,33,2.35290499999999980218,0.07803900000000041359,
36,87052.95085384910635184497,87059.77070466404256876558,87060.19046779187920037657,32,0.01028000000000001135,0.03284899999999996156,32,2.42926099999999678403,0.06886599999999987176,
37,87052.95085384912090376019,87061.22626331253559328616,87061.51881831986247561872,33,0.01145099999999998897,0.00807000000000002160,31,2.40323100000000522414,0.09872399999999981191,
38,87057.04976038160384632647,87064.78532841044943779707,87064.78532841043488588184,34,0.01156099999999998795,0.03900199999999998113,38,3.05715699999999657166,0.19348300000000051568,
39,87059.51096866786247119308,87068.11857050903199706227,87068.11857050906110089272,35,0.01223000000000001863,0.04173699999999996857,38,2.87661899999999803867,0.19230900000000072936,
40,87062.56596320385870058089,87071.26536338160804007202,87071.26536338160804007202,33,0.01293600000000000305,0.04341099999999997738,34,3.00164400000000597402,0.14190099999999983282,
41,87065.69313358496583532542,87080.78664175300218630582,87080.78664175301673822105,36,0.01450699999999999212,0.05377199999999993096,36,3.34195099999999456486,0.20378800000000119041,
42,87065.81999248357897158712,87084.06383399260812439024,87084.06383399259357247502,33,0.01356399999999999273,0.02649000000000001354,36,3.25721300000000013597,0.21796099999999896113,
43,87075.90080610872246325016,87088.84813558027963154018,87088.88228018151130527258,31,0.01277000000000000357,0.04283800000000004271,31,2.89056599999999974671,0.14946499999999929287,
44,87078.75715054155443795025,87095.08448215862154029310,87095.08448215862154029310,30,0.01302500000000000879,0.03940200000000004810,29,2.73447099999999920783,0.20389699999999955082,
45,87086.66017838260449934751,87097.51783918734872713685,87097.52226188269560225308,32,0.01372600000000001597,0.04466500000000006576,31,3.00975400000000092859,0.16208899999999992758,
46,87087.94066612103779334575,87103.23925342429720330983,87103.23925342428265139461,31,0.01316799999999995752,0.03624600000000000044,35,3.26643400000000383443,0.20064900000000029934,
47,87091.32749725242319982499,87107.69055042977561242878,87107.69055042977561242878,30,0.01340200000000002500,0.05634300000000003195,33,3.17151799999999184365,0.19358300000000028263,
48,87101.35528637730749323964,87110.51685351054766215384,87110.51685351056221406907,36,0.01614899999999996894,0.05658900000000000041,40,3.72588400000000774526,0.12174399999999963029,
49,87109.01174931204877793789,87112.39743109072151128203,87112.39743109073606319726,35,0.01646800000000003816,0.06228600000000006354,36,3.65814699999999959346,0.11891499999999943782,
50,87110.24222745344741269946,87117.75199131763656623662,87117.75199131765111815184,33,0.01570099999999996498,0.04634599999999999831,35,3.86481899999999711781,0.15858599999999967167,
51,87112.10645977506646886468,87118.72517646702181082219,87118.80534318582795094699,34,0.01605800000000001670,0.04997600000000002041,34,4.20901000000000635737,0.11666800000000066007,
52,87114.18097538613073993474,87119.95491209428291767836,87119.99859916315472219139,34,0.01684900000000000286,0.04523100000000002119,39,4.56273199999999690135,0.18125799999999969714,
53,87114.62242344469996169209,87120.48569334413332398981,87120.48589582029671873897,36,0.01813900000000001622,0.04373399999999993959,39,4.95815600000000245018,0.16808499999999959584,
54,87116.41718520323047414422,87121.05721299895958509296,87121.11851400896557606757,33,0.01748699999999997479,0.06790099999999998914,37,4.97596299999999303054,0.10970399999999713714,
55,87116.66560431953985244036,87123.77467140837688930333,87123.77467140834778547287,36,0.01927899999999999059,0.04292800000000007721,39,5.13524200000000519140,0.24482199999999920692,
56,87118.05411138398631010205,87125.03176939141121692955,87125.24862286433926783502,31,0.01763200000000003653,0.07114099999999989876,35,4.61281400000000019190,0.15689799999999820557,
57,87121.28975712026294786483,87126.13905290095135569572,87126.14092797011835500598,33,0.01758999999999999453,0.06627100000000019087,36,4.41461199999999109878,0.12981499999999712713,
58,87121.74587997820344753563,87127.98346688544552307576,87127.98346688546007499099,34,0.01823600000000002996,0.04339999999999988312,38,5.39956700000000466844,0.18845599999999862462,
59,87124.92768357299792114645,87128.51559544386691413820,87128.51559544393967371434,31,0.01824699999999990219,0.05852900000000005321,38,5.64651800000000037016,0.15965500000000076852,
60,87127.83677551067376043648,87129.16275483014760538936,87129.16275483017670921981,34,0.01933600000000001984,0.08042900000000008376,39,5.47263899999998670864,0.21674900000000008049,
61,87127.91020451975055038929,87129.72881503148528281599,87129.72881503155804239213,35,0.02116700000000004689,0.05319000000000007056,36,5.55959500000000161890,0.16129199999999954684,
62,87127.99003082387207541615,87130.43335901210957672447,87130.43335901216778438538,32,0.01973199999999997178,0.04696999999999995623,37,5.48728200000002175329,0.18203600000000008663,
63,87128.26959410191921051592,87131.69467379123670980334,87131.69467379130946937948,32,0.02092499999999997140,0.06498800000000004573,39,6.20431499999997981831,0.20129999999999981242,
64,87128.79650008853059262037,87132.34755525366927031428,87132.36254372871189843863,31,0.02086399999999999366,0.07323100000000004606,36,5.38748400000000060572,0.18355900000000247019,
65,87129.71013432741165161133,87133.63436290380195714533,87133.63436290381650906056,31,0.01973400000000002930,0.08251799999999986923,36,6.17305400000000759064,0.17395099999999885654,
66,87131.66861381482158321887,87133.78039337926020380110,87133.79981121211312711239,32,0.02025399999999999423,0.10655499999999995531,37,6.16675499999999487954,0.13787400000000005207,
67,87131.79295816631929483265,87133.89849161112215369940,87133.90503928788530174643,33,0.02145099999999999785,0.04915400000000014202,37,5.11241799999999102511,0.16203400000000200976,
68,87132.13821229584573302418,87134.30644700703851412982,87134.30644700703851412982,35,0.02324700000000001765,0.04584499999999991360,39,6.79557400000001621265,0.16246200000000143859,
69,87133.11622876649198587984,87134.54823630259488709271,87134.54823630262399092317,39,0.02737999999999995993,0.08400800000000030465,46,7.16268299999998703242,0.19694099999999892248,
70,87133.16924702012329362333,87134.61901195799873676151,87134.62486633595835883170,31,0.02237200000000005851,0.04570899999999999963,39,7.49577899999999885949,0.16165799999999919123,
71,87133.32397024736565072089,87134.73458845449204090983,87134.74324238645203877240,33,0.02293800000000001393,0.04830600000000018213,36,7.03235800000001631815,0.21600099999999855527,
72,87133.40812850727525074035,87134.88504076564277056605,87134.88504076561366673559,31,0.02367399999999997284,0.05098899999999995103,38,7.45891899999998031490,0.20206900000000160844,
73,87133.55959980288753286004,87135.00997899695357773453,87135.04980607263860292733,31,0.02246199999999998198,0.06160999999999994259,39,7.60965100000001370972,0.18580500000000199634,
74,87133.87225253200449515134,87135.26360319074592553079,87135.26360319074592553079,37,0.02820400000000000684,0.09312599999999982003,42,8.06797499999998990461,0.27274099999999634747,
75,87134.21958654238551389426,87135.66261105574085377157,87135.66261105568264611065,32,0.02280599999999999294,0.09089700000000000557,39,8.31169700000000943874,0.32205400000000139471,
76,87134.37976412574062123895,87135.71092017785122152418,87135.79885579104302451015,39,0.02884100000000000552,0.07073000000000018161,41,7.57928499999999871761,0.09259999999999735110,
77,87134.42558878162526525557,87135.98951508995378389955,87135.98965754914388526231,35,0.02572699999999994436,0.06142800000000026017,42,9.34154000000000905857,0.31544600000000144746,
78,87134.63375449056911747903,87137.76463822691584937274,87137.76463822693040128797,36,0.02668600000000009853,0.09151200000000025980,43,10.01848299999997493615,0.35751799999999889224,
79,87136.38799707965517882258,87138.60758977018122095615,87138.60758977016666904092,37,0.03086299999999986277,0.14839799999999980784,43,9.09912200000002258093,0.30023299999999863985,
80,87136.45617005831445567310,87139.26057282851252239197,87139.26057282854162622243,33,0.02773000000000003240,0.09187499999999992895,44,10.02545900000001211083,0.34331900000000104001,
81,87137.56202476179169025272,87139.37477506627328693867,87139.45527776525705121458,33,0.02939899999999995295,0.18382399999999998741,41,10.15485400000000026921,0.14079699999999917281,
82,87137.60719834806513972580,87140.17656141318730078638,87140.17656141318730078638,35,0.02818200000000015137,0.04631199999999990879,43,11.36527899999998680869,0.35911700000000479349,
83,87138.93662473511358257383,87141.05123778562119696289,87141.07743065198883414268,36,0.02993299999999998739,0.11806200000000011130,43,10.76341500000000905857,0.38052499999999866986,
84,87139.80438346235314384103,87141.32931771362200379372,87141.35996335267554968596,36,0.02991799999999988913,0.13820599999999982899,43,9.39230699999995977123,0.23720699999999794727,
85,87140.26309502533695194870,87141.94242616390693001449,87141.94242616390693001449,33,0.02825900000000003409,0.09990699999999996805,40,10.97766799999999420834,0.28967399999999798865,
86,87140.92051676173286978155,87142.90739565837429836392,87142.90739565837429836392,34,0.02883100000000005103,0.18273899999999976274,44,11.61119200000001683293,0.40380900000000252703,
87,87141.11223417523433454335,87143.41531265262165106833,87143.41531265260709915310,34,0.03279300000000007209,0.09606300000000000949,48,11.61624399999999468491,0.37243500000000295813,
88,87141.65077736164676025510,87143.73977508928510360420,87143.77165699728357139975,38,0.03321399999999985475,0.12853400000000014813,43,12.16705999999999221473,0.26022899999999538068,
89,87141.98138006664521526545,87143.92210323503240942955,87143.99734456306032370776,34,0.03012199999999998212,0.11407099999999914530,45,14.30865199999999504143,0.27375400000000382761,
90,87142.10208413346845190972,87144.73759468922798987478,87144.73759468922798987478,37,0.03519600000000000506,0.10089099999999984192,49,14.21840300000002343950,0.51713999999999771262,
91,87142.34156603591691236943,87145.56072133728594053537,87145.56072133731504436582,36,0.03396400000000010522,0.10610599999999958953,52,16.63701300000002447632,0.46689599999999842339,
92,87143.17285206560336519033,87145.81135211681248620152,87145.81305133168643806130,39,0.03756399999999993078,0.12220099999999955998,54,15.48466399999995246617,0.43596100000000603814,
93,87143.48731026001041755080,87146.23156939394539222121,87146.23156939394539222121,40,0.03943000000000007610,0.12454799999999988103,47,14.67757000000000289219,0.53343900000000132877,
94,87144.34588327065284829587,87146.61631860407942440361,87146.61631860412308014929,36,0.03628199999999992542,0.13235500000000044452,51,15.59656300000000328509,0.61675199999999108513,
95,87144.35262997825338970870,87147.02551710592524614185,87147.02551710593979805708,37,0.03897499999999998188,0.05420700000000078234,50,16.37195800000000645014,0.55538900000000523960,
96,87144.35262997825338970870,87147.37245888693723827600,87147.37245888686447869986,36,0.03744499999999995055,0.02826500000000020663,50,13.32253800000000865111,0.58400299999999560896,
97,87144.49881278298562392592,87147.55694021811359561980,87147.58703823509858921170,37,0.03866199999999997416,0.10635999999999956600,45,16.11420700000002170782,0.36803700000000105774,
98,87145.02837735833600163460,87148.38419158359465654939,87148.38604115536145400256,33,0.03745100000000012308,0.12130200000000002092,44,15.16715700000003153036,0.71968800000000499040,
99,87145.03589045129774603993,87148.55804525194980669767,87148.57130518337362445891,35,0.04558099999999987162,0.06184800000000034714,47,14.20191699999998036219,0.31829199999999957527,
100,87145.03589045129774603993,87148.75346501612511929125,87148.78215349055244587362,39,0.04307000000000016371,0.02814000000000049795,48,16.30270799999993869278,0.39062699999999495049,
101,87145.05700372760475147516,87149.37016152439173310995,87149.37016152428986970335,41,0.05182500000000000995,0.05640599999999995617,53,18.20914900000002489833,0.72172000000000480213,
102,87145.12891482934355735779,87149.96631029549462255090,87149.96631068641727324575,36,0.04365899999999989234,0.11209800000000047504,49,17.19310800000005201582,0.72921499999999639385,
103,87145.13994601470767520368,87150.25766690136515535414,87150.26008193624147679657,40,0.04698599999999997223,0.04784599999999983311,48,17.31009199999994052632,0.50315399999999499414,
104,87145.19531280959199648350,87151.32828411023365333676,87151.32828411023365333676,37,0.04543600000000003192,0.06493999999999999773,45,17.76899700000001303124,0.63430599999999515148,
105,87147.57263907499145716429,87152.01238229780574329197,87152.01238280264078639448,34,0.04122700000000012466,0.21938899999999961210,51,19.27120600000000649743,0.84692499999999881766,
106,87148.50013736120308749378,87152.28892096059280447662,87152.29618403877248056233,35,0.04168399999999983230,0.17671999999999954412,49,19.49474299999997128907,0.55225999999998975909,
107,87149.89454470426426269114,87152.60091684278449974954,87152.61573654276435263455,35,0.04609399999999985731,0.13131000000000003780,49,20.36132899999995515827,0.43724299999999516331,
108,87150.33275691843300592154,87153.34660376174724660814,87153.34660376180545426905,38,0.04963400000000017798,0.11616500000000051784,51,19.76335000000005948095,0.49957200000000057116,
109,87150.51597980796941556036,87153.58762820354604627937,87153.59637461205420549959,34,0.04239600000000010027,0.11297400000000035192,52,18.62824999999997999112,0.56775000000000375167,
110,87151.04910572551307268441,87154.13942633252008818090,87154.13942633246188051999,38,0.04605799999999993233,0.10291400000000017201,52,19.20611800000006041955,0.74771599999999693864,
111,87151.24829990358557552099,87154.25938915704318787903,87154.29130584403173997998,32,0.04648399999999996979,0.13835899999999945464,46,17.67521199999998771091,0.44375900000000001455,
112,87151.28743081983702722937,87155.15804847363324370235,87155.15804847363324370235,36,0.04313000000000011269,0.08867100000000061044,50,19.44101499999999305146,0.70968500000000744876,
113,87153.28673275207984261215,87155.55480844721023458987,87155.56025953334756195545,35,0.05125299999999999301,0.25350200000000011613,43,17.78995999999995092367,0.70310399999999617648,
114,87154.10035759015590883791,87155.83255407089018262923,87155.83255407091928645968,33,0.04617099999999974003,0.13660499999999942133,47,19.23857499999996889528,0.49332700000000784257,
