aligninq_presolved,bound_gmic,bound_vpc,bound_all_cuts,num_gmic,gmic_gen_time,gmic_apply_time,num_vpc,vpc_gen_time,vpc_apply_time,
0,2654.73680220533242390957,2654.73680220533242390957,2654.73680220533242390957,0,0.000000,0.016555,0,0.000000,0.016555,
1,2661.48867500129244945128,2662.45252982271131259040,2666.09597160939574678196,182,0.05287000000000000033,0.29729600000000000470,185,1214.78165999999987434421,0.14635799999999998811,
2,2666.99999999962210495141,2667.19374856255126360338,2670.89654132389341611997,173,0.15567100000000000382,0.42427900000000001723,185,57.43317400000000816362,0.65720100000000014617,
3,2670.99999999971805664245,2672.45691110098732679035,2673.52399923132497860934,180,0.27509699999999992492,0.51019999999999987583,181,68.06100600000013400859,1.09518799999999938422,
4,2673.99999999970486896927,2673.18451883880152308848,2673.99999999970532371663,173,0.37632400000000004736,1.10622199999999981657,191,111.99138399999992543599,0.43536999999999892452,
5,2673.99999999970941644278,2673.72010486655017302837,2674.19659907125105746672,190,0.53014599999999989510,0.13596999999999992426,188,110.58482699999990472861,0.78558199999999978047,
6,2674.99999999968304109643,2674.79926913213603256736,2675.02960933513986674370,168,0.58289100000000004798,1.05087499999999955946,185,152.71355400000015833939,1.11762099999999975353,
7,2675.99999999938927430776,2675.08790854679909898550,2675.99999999938518158160,182,0.73386900000000010458,0.64706600000000058515,195,161.61625600000002123124,2.37005900000000124805,
8,2675.99999999938972905511,2675.76988701162508732523,2675.99999999938563632895,178,0.84124299999999996302,0.27485300000000023601,191,211.49669399999993402162,2.14213300000000117507,
9,2675.99999999939063854981,2676.00529574707888968987,2676.04425219948598169140,189,1.04166699999999989856,1.42125599999999963075,188,147.41165799999998853309,2.16568799999999583861,
10,2676.99999999950659912429,2676.14440909050881600706,2676.99999999950296114548,181,1.09487199999999962330,0.61555300000000023886,200,235.14183199999979478889,1.76704100000000607906,
11,2676.99999999950841811369,2676.14440909050881600706,2676.99999999950387064018,194,1.30772699999999986176,0.28975200000000000955,0,83.07533200000034412369,0.00000000000000000000,
