d10200_presolved,bound_gmic,bound_vpc,bound_all_cuts,num_gmic,gmic_gen_time,gmic_apply_time,num_vpc,vpc_gen_time,vpc_apply_time,
0,12425.58300545183374197222,12425.58300545183374197222,12425.58300545183374197222,0,0.000000,0.046566,0,0.000000,0.046566,
1,12425.60536521293215628248,12425.73892551470089529175,12425.73892551469361933414,144,0.01995800000000000005,0.14656199999999999783,135,8.56196899999999949671,0.11023099999999999565,
2,12425.72879669059329899028,12425.78919387690439180005,12425.78919387705354893114,150,0.04280499999999999583,0.24487100000000000533,149,11.53568199999999954741,0.31358699999999994912,
3,12425.78105060882080579177,12425.82309270448786264751,12425.82309270448058668990,153,0.06953499999999999959,0.34119499999999997053,156,17.14175499999999630063,0.34479699999999979809,
4,12425.80625980043441813905,12425.83509842645798926242,12425.83509842646526522003,147,0.09412999999999999146,0.30468600000000001238,158,20.32210900000000464161,0.46494299999999988415,
5,12425.83220093544332485180,12425.84345417508120590355,12425.84345417520853516180,150,0.11780999999999999805,0.36458400000000001917,159,24.75408999999999082320,0.77186799999999955446,
6,12425.83562003795304917730,12425.85031738259931444190,12425.85031738259567646310,151,0.15147800000000000153,0.34686900000000009392,164,32.89059600000000216369,0.97753999999999940940,
7,12425.84649007791449548677,12425.86819553023997286800,12425.86819553024906781502,152,0.18215500000000001135,0.63012200000000029299,164,35.98201000000000249202,1.26295600000000085572,
8,12425.86351219164134818129,12425.87595232143394241575,12425.87595232144849433098,163,0.21956699999999995665,1.03231600000000023343,165,38.15840900000000601722,1.00434999999999874376,
9,12425.87113833751209313050,12425.87934092411887831986,12425.87934092420800880063,159,0.27398699999999998056,0.63572400000000017783,167,45.61788500000000112777,1.22016999999999953275,
10,12425.87404023037925071549,12425.88642681290912150871,12425.88642681290184555110,164,0.30412299999999992117,0.44461400000000050881,175,55.66640199999997662417,1.70599899999999848887,
11,12425.87770993865524360444,12425.88942536992180976085,12425.88942537013463152107,171,0.35970699999999999896,0.63724999999999987210,176,64.44707799999997632767,1.89372900000000043974,
12,12425.88090798510165768676,12425.89501102596295822877,12425.89501102596295822877,156,0.37338699999999991341,0.63213899999999956236,163,65.58830100000000129512,1.74584299999999359443,
13,12425.88978237969968176913,12425.89619274098004098050,12425.89619935114023974165,165,0.42453500000000010672,0.88619900000000040308,176,75.21593500000000176442,1.49471899999999635611,
14,12425.89117755432198464405,12425.89773517409412306733,12425.89773517408684710972,154,0.44618299999999999628,0.68437699999999956901,162,79.37314500000002226443,2.12379500000000120963,
15,12425.89228938178894168232,12425.89894206738244974986,12425.89894206738790671807,157,0.50017699999999987170,0.83021700000000020481,163,91.07092099999999845750,2.03004500000000120963,
16,12425.89733867612449103035,12425.89903984119882807136,12425.89909467714278434869,166,0.55722799999999983456,1.02435700000000018406,167,186.62394799999992756057,1.48293900000000178352,
17,12425.89747510639608663041,12425.89930724486112012528,12425.89930724485566315707,164,0.57735100000000016962,60.30018499999999903594,163,329.41421500000012656528,2.80129399999999861848,
18,12425.89767300984567555133,12425.89958142392242734786,12425.89958172918341006152,171,0.67542599999999985982,0.74021500000000628461,187,123.71230700000000979344,2.29199300000000505406,
19,12425.89802764180421945639,12425.89999841670214664191,12425.89999841584722162224,168,0.67714300000000005042,72.14439699999999788815,179,764.78175799999985429167,3.17654000000000280579,
20,12425.89849500497257395182,12425.90035549892490962520,12425.90035549849017115775,169,0.73529700000000008941,1.38547300000001882836,184,157.43856800000003204332,3.74345500000001152330,
21,12425.89893812851914844941,12425.90070819741413288284,12425.90071148303468362428,166,0.73407599999999995077,1.77510599999999385545,174,159.75632899999982328154,4.04909699999998906605,
22,12425.89934899625768593978,12425.90149699502762814518,12425.90149699482208234258,163,0.80267700000000008487,1.44411599999997974919,171,421.08878800000002229353,4.33168800000001397166,
23,12425.89984868863575684372,12425.90315945547445153352,12425.90315945547445153352,169,0.84163200000000060186,1.66465700000000538239,179,169.98701600000003963942,4.52055999999998903149,
24,12425.90165125508065102622,12425.90361928210404585116,12425.90361928306447225623,165,0.89974999999999916156,2.37802400000001057379,110,201.53680500000018582796,4.27476399999997624946,
25,12425.90194983400579076260,12425.90422384427438373677,12425.90422384145313117187,166,0.90407300000000034856,1.51271699999998077146,171,247.33972199999971053330,5.00026500000001306034,
26,12425.90227140205570321996,12425.90566142670468252618,12425.90566142671559646260,163,0.91954699999999967019,1.77169699999998897511,175,586.52933000000030006049,5.59226999999998497515,
27,12425.90300828721228754148,12425.90598744869021174964,12425.90614273676510492805,160,0.94296999999999897568,2.25593700000001717854,165,208.81511799999952927465,4.40031099999998787098,
28,12425.90353099422281957231,12425.90695011397656344343,12425.90695011448406148702,164,0.98626600000000053114,1.97891599999999812098,175,235.74123500000041531166,5.17247700000001486842,
29,12425.90394140857824822888,12425.90824060952945728786,12425.90824060349041246809,175,1.09312399999999954048,1.59955499999998096428,180,227.67085700000006909249,5.82108499999998230123,
30,12425.90560293636735877953,12425.90851117473721387796,12425.90852356354480434675,169,1.09166499999999899728,3.07445000000001300577,185,220.50909999999930732884,4.54045600000000604268,
