d10200_presolved,bound_gmic,bound_vpc,bound_all_cuts,num_gmic,gmic_gen_time,gmic_apply_time,num_vpc,vpc_gen_time,vpc_apply_time,
0,12425.58300545183374197222,12425.58300545183374197222,12425.58300545183374197222,0,0.000000,0.047506,0,0.000000,0.047506,
1,12425.60536521293215628248,12425.64829436176660237834,12425.65025497982423985377,144,0.01928900000000000059,0.14824399999999998689,118,2.27082199999999989615,0.14141599999999998616,
2,12425.63913024987778044306,12425.67369601090103969909,12425.67482139046660449822,153,0.04343400000000000039,0.20555899999999999173,120,3.18470299999999983953,0.17646400000000006525,
3,12425.67040220462695288006,12425.70462978141404164489,12425.70463251356522960123,152,0.06571099999999999164,0.25638899999999997803,131,5.14608800000000066177,0.22650900000000007140,
4,12425.68414357170331641100,12425.71889225199629436247,12425.71926442988842609338,152,0.09304599999999998983,0.29015400000000002301,153,6.29057899999999747820,0.26018900000000000361,
5,12425.68743470314075239003,12425.72742980903967691120,12425.72742980903967691120,154,0.11949699999999999211,0.23433100000000006702,146,8.59786700000000081445,0.46383899999999922414,
6,12425.70538350854440068360,12425.73732533114525722340,12425.73732533113434328698,157,0.14201600000000003110,0.48359799999999997233,137,10.95240300000000033265,0.71839599999999936841,
7,12425.71141881641597137786,12425.74141586145924520679,12425.74149055917587247677,154,0.17925799999999991741,0.43065599999999992775,144,12.08661399999999730426,0.52198899999999959221,
8,12425.71446290786479949020,12425.74676833954254107084,12425.74676833955527399667,163,0.21923900000000007271,0.30174799999999990519,137,15.24255600000000043792,0.69203899999999940462,
9,12425.73021265584793582093,12425.75278833552874857560,12425.75278833553784352262,152,0.24616199999999988091,0.50633799999999995478,154,19.61928199999999833381,0.87944699999999897955,
10,12425.74218404535167792346,12425.75882140117573726457,12425.75882140117573726457,164,0.28343899999999999650,0.52678700000000011627,134,21.31406099999999526062,0.95096899999999706665,
11,12425.75502278552812640555,12425.76204982527633546852,12425.76204982558192568831,161,0.32377500000000014602,0.42341499999999987480,153,24.70475799999999821921,0.88985899999999773513,
12,12425.75648875773913459852,12425.76331037951422331389,12425.76331037212912633549,153,0.33373399999999997512,0.59929200000000015791,140,23.36294499999999629836,1.12754699999999985494,
13,12425.75921238516821176745,12425.76479670004846411757,12425.76479669954096607398,165,0.35905699999999995953,0.63102000000000035840,122,29.81286800000000880573,1.18313100000000304135,
14,12425.76170250742143252864,12425.76505200608517043293,12425.76512604133677086793,167,0.41345600000000004570,0.46477500000000038227,170,32.34729799999999499960,1.24583100000000257523,
15,12425.76245271031802985817,12425.76541594231639464851,12425.76544631250908423681,173,0.48292000000000001592,0.64456999999999986528,155,34.76660899999998832754,1.12117399999999634019,
16,12425.76314766225186758675,12425.76597751621739007533,12425.76597751571534899995,160,0.50732599999999994367,0.63507499999999961204,166,47.22957399999998528983,1.93050300000000163436,
17,12425.76374170178496569861,12425.76743886738768196665,12425.76743886735312116798,170,0.54924600000000012301,0.70795399999999997220,135,51.72354300000000648652,2.16320199999999829288,
18,12425.76391262412289506756,12425.77034195537453342695,12425.77034195537089544814,157,0.53574099999999980071,0.62997000000000014097,160,87.20112699999998540079,2.03069699999998931617,
19,12425.76572079993275110610,12425.77200004156838986091,12425.77200004155929491390,165,0.62593999999999994088,1.24175199999999996692,162,53.65645700000004580943,1.46229399999999998272,
20,12425.76663638645550236106,12425.77476786061379243620,12425.77476786177794565447,166,0.65367899999999945493,1.47678499999999957026,123,54.24116699999996171755,1.72922800000000620457,
21,12425.77277276918175630271,12425.77618594409977959003,12425.77628238831130147446,169,0.72778300000000051284,1.56640200000000007208,135,57.64190900000005512993,1.68996199999999419106,
22,12425.77325155568723857868,12425.77773975218769919593,12425.77773975219133717474,161,0.72601699999999969037,1.10800500000000035072,177,181.42343999999991410732,2.83558199999998805652,
23,12425.77368211428438371513,12425.77896226984921668191,12425.77896227058408840094,167,0.76957399999999953621,1.11487699999999989586,176,74.43994600000007721974,2.64307000000002290108,
24,12425.77439111829517059959,12425.77959716835903236642,12425.77959719405953364912,166,0.80550700000000041712,1.56095300000000136720,127,72.81079899999997451232,2.17262600000000816181,
25,12425.77582419279860914685,12425.78033202202641405165,12425.78033202203369000927,175,0.88985399999999970078,129.44621599999999261854,137,89.39755200000001877925,3.00257499999997889972,
26,12425.77760347585171984974,12425.78080511329972068779,12425.78083958583010826260,168,0.92991699999999966053,1.59536800000000766886,163,86.73431300000004284811,2.42572600000002580600,
27,12425.77870143387553980574,12425.78156589701939083170,12425.78156588948149874341,174,0.98736500000000049226,1.49222499999999058673,160,105.01655299999993076199,3.45301900000001182889,
28,12425.78014445150438405108,12425.78213451406554668210,12425.78216157652605033945,165,0.99563999999999985846,2.26329499999999939064,107,100.75301500000000487489,2.42557899999999904139,
29,12425.78040124051585735288,12425.78239742435835069045,12425.78241705684922635555,168,1.02411500000000010857,1.70123699999999189458,170,1509.41847499999994397513,4.18554799999998294879,
30,12425.78099208507410367019,12425.78265114725400053430,12425.78264618952925957274,171,1.09297800000000044918,145.12344600000000127693,165,1905.58647399999972549267,4.23466899999999668580,
