d10200_presolved,bound_gmic,bound_vpc,bound_all_cuts,num_gmic,gmic_gen_time,gmic_apply_time,num_vpc,vpc_gen_time,vpc_apply_time,
0,12425.58300545183374197222,12425.58300545183374197222,12425.58300545183374197222,0,0.000000,0.046817,0,0.000000,0.046817,
1,12425.60536521293215628248,12425.82152205551756196655,12425.82152205552847590297,144,0.02059000000000000066,0.14609600000000000364,135,31.36806199999999833494,0.12846399999999999486,
2,12425.81715444872679654509,12425.89169033373400452547,12425.89169033373400452547,141,0.04055399999999999283,0.34266999999999997462,145,42.81973899999999844113,0.40022900000000005694,
3,12425.88250696451723342761,12425.91849644062131119426,12425.91849644065041502472,155,0.06981099999999998418,0.34520100000000003559,154,54.78429999999998756266,0.42424999999999979394,
4,12425.91159566652640933171,12425.92528058214338670950,12425.92528058213792974129,159,0.09956000000000000960,0.32760099999999992004,158,68.99580600000001595618,0.39585700000000034748,
5,12425.91584094927202386316,12425.93252358300560445059,12425.93252358300560445059,157,0.12299699999999999522,0.21191800000000005078,162,79.99793500000001245098,0.67128500000000013159,
6,12425.92401335790054872632,12425.93981810640980256721,12425.93981810645527730230,160,0.15021999999999996467,0.33548399999999989340,158,85.50278099999997039049,1.22528500000000128978,
7,12425.93524622836594062392,12425.94248839465035416652,12425.94248839463580225129,158,0.18648699999999995836,0.33036799999999977295,165,109.07336900000001378430,0.94213800000000169632,
8,12425.93996260322273883503,12425.94482924089425068814,12425.94482924089425068814,161,0.22808100000000008922,0.43902799999999997382,171,119.78879200000000082582,1.15782899999999955298,
9,12425.94221308457417762838,12425.94828945582412416115,12425.94828945595691038761,166,0.28448299999999993037,0.60609400000000013264,166,133.85103199999991829827,1.62502600000000185787,
10,12425.94528124643329647370,12425.95295167217955167871,12425.95295167217955167871,161,0.29779500000000003190,0.69515100000000007441,171,146.91962000000000898581,1.48835799999999807142,
11,12425.95092867227685928810,12425.95476103434884862509,12425.95476103674627665896,158,0.32843500000000003247,0.98128999999999999559,164,149.27461400000004232425,1.74616299999999569081,
12,12425.95338208490284159780,12425.95721421004600415472,12425.95721421004600415472,154,0.37100999999999983991,0.80496499999999926445,178,179.67202899999995224789,2.04817800000000005411,
13,12425.95388260584149975330,12425.96063895983570546377,12425.96063895983206748497,160,0.42801899999999992730,20.45993499999999798433,162,183.21884999999997489795,2.50762600000000190903,
14,12425.95479962362514925189,12425.96730125446265446953,12425.96730125475551176351,152,0.45003200000000020964,0.97597599999999928855,163,203.03104299999995419057,2.58276999999999645752,
15,12425.95706150848673132714,12425.97218615825840970501,12425.97218615825659071561,165,0.50628199999999967673,1.01616899999999787951,173,214.68881000000010317308,2.34520600000000456475,
16,12425.96667484528916247655,12425.97611559374308853876,12425.97611559430333727505,168,0.55904100000000056525,1.51869300000000251316,173,244.91152699999997821578,2.34295400000000597629,
17,12425.97180003927496727556,12425.97665987643631524406,12425.97666336623660754412,167,0.62541999999999919879,0.91060699999999883403,177,280.22792099999992387893,1.47959199999999668762,
18,12425.97349880844558356330,12425.97979631758425966837,12425.97979631758425966837,164,0.64054700000000064364,0.84927200000000269142,176,302.40185199999996257247,3.70822299999998961084,
19,12425.97705628709627490025,12425.98004607021721312776,12425.98011332304122333881,155,0.66132699999999999818,1.34592199999999806437,169,310.18694600000026184716,2.21251300000000128421,
20,12425.97808566841194988228,12425.98061666191824770067,12425.98071192033967236057,158,0.69491599999999920101,84.69810699999999314969,165,326.54265599999962432776,2.55938599999998928070,
21,12425.97826372948838979937,12425.98238394367581349798,12425.98238394366671855096,145,0.71410600000000012955,0.93566899999999009196,175,381.17698500000005878974,3.96024399999998877320,
