23588_presolved,bound_gmic,bound_vpc,bound_all_cuts,num_gmic,gmic_gen_time,gmic_apply_time,num_vpc,vpc_gen_time,vpc_apply_time,
0,7649.86613382250197901158,7649.86613382250197901158,7649.86613382250197901158,0,0.000000,0.002332,0,0.000000,0.002332,
1,7675.27431627028636285104,7805.29496606900465849321,7806.51056736822374659823,75,0.00284300000000000004,0.01092999999999999874,71,2.08759399999999972763,0.00624399999999999955,
2,7806.99999999922602000879,7825.79418384925429563737,7825.80353284021839499474,79,0.00503999999999999934,0.01219699999999999951,78,3.46456900000000045381,0.01459499999999999686,
3,7825.99999999922511051409,7836.04627336395606107544,7836.25731188026202289620,77,0.00759100000000000052,0.01493200000000000430,79,4.90735299999999874387,0.02989899999999999503,
4,7836.99999999921328708297,7841.17455165534829575336,7841.17455165534556726925,83,0.01093799999999999807,0.01267000000000000071,81,6.23683800000000054808,0.03837899999999999645,
5,7841.99999999918964022072,7848.74176793405968055595,7848.74176793405968055595,85,0.01302199999999999885,0.01640899999999999997,82,7.15185400000000015552,0.05241799999999996462,
6,7848.99999999922692950349,7852.14009271065788198030,7852.15782536288952542236,76,0.01428300000000000403,0.03171099999999998920,76,8.58820000000000050022,0.07582100000000002726,
7,7852.99999999918418325251,7856.20603802264940895839,7856.30596246660024917219,78,0.01729899999999999494,0.02087900000000000866,82,10.43853299999999961756,0.11312199999999994482,
8,7856.99999999921419657767,7865.77876258469314052491,7865.77876258469041204080,86,0.02082100000000000617,0.02922799999999999010,83,11.48375799999999458123,0.12074200000000012700,
9,7865.99999999923784343991,7867.70713554770372866187,7867.70713554770645714598,86,0.02350199999999999512,0.02573900000000001187,82,11.30863500000000243517,0.08560599999999984888,
10,7867.99999999923056748230,7868.57170680828221520642,7868.57170680828403419582,78,0.02409300000000000330,0.01984400000000000053,78,13.94343100000000390537,0.10251000000000010104,
11,7868.99999999922783899819,7869.72568150630468153395,7869.72568150630377203925,82,0.02818099999999998384,0.03140900000000002024,79,14.13552299999999206648,0.17171799999999981523,
12,7869.99999999923238647170,7870.90170838060021196725,7870.98534402631685225060,82,0.03168799999999999395,0.04738000000000000544,82,17.08637699999999881584,0.14670400000000016760,
13,7870.99999999923693394521,7873.67055465423800342251,7873.67211327189943403937,84,0.03454200000000001713,0.04230200000000000626,86,17.35518500000000585715,0.20806699999999977990,
14,7873.99999999922692950349,7876.12030377015616977587,7876.12030377016253623879,83,0.03636399999999997967,0.03760099999999999554,81,17.15680399999999394822,0.15612700000000057088,
15,7876.99999999915689841146,7876.48968539064389915438,7876.99999999915962689556,81,0.03791400000000000325,0.02714800000000000546,75,18.51613100000000144973,0.14759999999999973141,
16,7876.99999999915689841146,7876.79757344453537371010,7876.99999999915507942205,80,0.04170299999999999008,0.01825399999999999245,86,23.55983599999999000829,0.16125599999999984391,
17,7876.99999999915780790616,7877.36217268541440716945,7877.36217268541167868534,88,0.04609299999999999509,0.03194199999999997042,85,20.63193100000000868022,0.21872899999999972920,
18,7877.99999999921783455648,7877.51946105517708929256,7877.99999999921510607237,81,0.04655400000000003979,0.02690100000000000824,81,25.12299200000001064836,0.15838199999999957868,
19,7877.99999999921874405118,7878.29244420254963188199,7878.29244420254508440848,80,0.04856699999999997130,0.03802200000000000024,81,25.61139700000001084845,0.21424899999999880151,
20,7878.99999999921055859886,7878.86910619402078737039,7878.99999999921237758826,82,0.05296100000000003583,0.03711899999999995758,78,25.58380199999999149441,0.18001499999999914792,
21,7878.99999999921055859886,7879.11674965897873335052,7879.11674965897964284522,80,0.05768600000000001504,0.02663800000000005053,79,26.35647399999999151987,0.19427599999999856095,
22,7879.99999999916508386377,7879.43538590082698647166,7879.99999999916326487437,84,0.06145799999999990160,0.04226599999999991475,78,32.24812500000001591616,0.28166700000000055581,
23,7879.99999999916508386377,7879.59892794112693081843,7879.99999999916508386377,76,0.05586299999999999599,0.02786499999999991761,81,37.42537699999996902989,0.21478300000000061232,
24,7879.99999999916144588497,7879.63272033381963410648,7879.99999999916326487437,84,0.06560600000000005316,0.06086999999999997968,83,39.62777199999999311331,0.26426000000000016144,
25,7879.99999999916326487437,7879.74681180555671744514,7879.99999999916508386377,81,0.07541399999999998105,0.04169299999999998008,81,38.25332600000001548324,0.28515500000000137959,
26,7879.99999999916508386377,7880.06111563191916502547,7880.06111563191552704666,79,0.06530100000000005345,0.07716899999999993209,78,43.48049099999997224586,0.32367399999999868498,
27,7880.99999999908413883531,7880.16940807055743789533,7880.99999999908322934061,76,0.06919899999999989948,0.05291699999999999182,71,39.45167100000003301830,0.29234300000000246200,
28,7880.99999999908413883531,7880.97788903329183085589,7880.99999999908050085651,72,0.07373499999999999499,0.03810200000000008025,69,45.57785899999998946441,0.28651699999999991064,
29,7880.99999999908413883531,7880.97788903329183085589,7880.99999999908322934061,86,0.07664700000000013169,0.03902800000000006264,0,46.24563499999999294232,0.00000000000000000000,
