mas284_presolved,bound_gmic,bound_vpc,bound_all_cuts,num_gmic,gmic_gen_time,gmic_apply_time,num_vpc,vpc_gen_time,vpc_apply_time,total time gmic,total time vpc
0,86195.86303,86195.86303,86195.86303,0,0,0.003757,0,0,0.003757,0.003757,0.003757
1,86241.00223,86231.35039,86271.26589,20,0.000844,0.003419,20,0.035574,0.001189,0.00802,0.04052
2,86301.14419,86340.23987,86342.78457,20,0.000776,0.001753,21,0.042138,0.002567,0.010549,0.085225
3,86334.46001,86366.96165,86370.66507,22,0.001008,0.002386,24,0.061428,0.002287,0.013943,0.14894
4,86344.21744,86395.78141,86396.07112,24,0.001234,0.002197,22,0.059546,0.003522,0.017374,0.212008
5,86369.44283,86402.27096,86407.08435,23,0.001386,0.002567,24,0.072056,0.003839,0.021327,0.287903
6,86396.79988,86437.35354,86437.35354,23,0.001518,0.003567,24,0.129536,0.005083,0.026412,0.422522
7,86424.43764,86498.88295,86498.88295,26,0.001927,0.004518,27,0.152058,0.008175,0.032857,0.582755
8,86456.49872,86531.93618,86533.67704,24,0.001875,0.004452,26,0.179194,0.005876,0.039184,0.767825
9,86507.47893,86542.12958,86545.96357,26,0.002215,0.005081,23,0.176359,0.008088,0.04648,0.952272
10,86529.59737,86556.87108,86557.26468,26,0.002455,0.005704,27,0.225217,0.011957,0.054639,1.189446
11,86531.8828,86571.52838,86571.52838,25,0.002639,0.004618,27,0.24463,0.017249,0.061896,1.451325
12,86556.67431,86593.89381,86595.47518,26,0.002917,0.008372,26,0.289006,0.009096,0.073185,1.749427
13,86557.92678,86608.57691,86608.57691,28,0.00337,0.004545,27,0.278046,0.013221,0.0811,2.040694
14,86588.12219,86617.1343,86617.1343,26,0.003365,0.009129,28,0.305693,0.010992,0.093594,2.357379
15,86605.35571,86626.28083,86626.34887,25,0.003337,0.011347,26,0.335598,0.018948,0.108278,2.711925
16,86609.44339,86630.46065,86631.66244,23,0.003406,0.007224,26,0.367707,0.016126,0.118908,3.095758
17,86622.49995,86634.11777,86634.31791,27,0.004502,0.011162,28,0.362765,0.014987,0.134572,3.47351
18,86622.59868,86635.53008,86635.82744,26,0.004465,0.007628,30,0.405982,0.016845,0.146665,3.896337
19,86626.08207,86637.98254,86638.12952,27,0.004818,0.00831,26,0.417118,0.02539,0.159793,4.338845
20,86629.78033,86641.96873,86641.96873,28,0.004941,0.010399,29,0.515173,0.032129,0.175133,4.886147
21,86635.4449,86646.8176,86648.51711,28,0.005303,0.016302,27,0.496113,0.020124,0.196738,5.402384
22,86646.88206,86650.78397,86651.13219,28,0.005558,0.013767,26,0.560389,0.022458,0.216063,5.985231
23,86647.7437,86652.51592,86653.46344,27,0.005537,0.012176,29,0.654684,0.021807,0.233776,6.661722
24,86649.68817,86655.94407,86655.95246,29,0.006431,0.01597,31,0.707497,0.031383,0.256177,7.400602
25,86650.7402,86657.99526,86657.99526,28,0.0063,0.016515,30,0.733358,0.020899,0.278992,8.154859
26,86652.81029,86658.47504,86658.50918,29,0.006771,0.013723,27,0.7376,0.037907,0.299486,8.930366
27,86653.16498,86659.20773,86659.21944,32,0.007692,0.014235,29,0.823084,0.038497,0.321413,9.791947
28,86657.81692,86660.43329,86660.80734,30,0.007355,0.023504,32,0.872504,0.036104,0.352272,10.700555
29,86658.65762,86661.20432,86661.49318,30,0.007598,0.016698,26,0.823624,0.030415,0.376568,11.554594
30,86660.77405,86662.30862,86662.37117,30,0.007828,0.020394,30,0.970025,0.047035,0.40479,12.571654
31,86661.64594,86663.35735,86663.4036,29,0.008271,0.024088,29,0.956768,0.035174,0.437149,13.563596
32,86661.74133,86668.12879,86668.12879,28,0.008399,0.016562,29,0.97677,0.048052,0.46211,14.588418
33,86661.91225,86669.47323,86669.47323,31,0.008954,0.02209,30,1.005325,0.052318,0.493154,15.646061
34,86662.70756,86669.98561,86670.09049,28,0.008486,0.028342,27,0.983365,0.035706,0.529982,16.665132
35,86663.17919,86670.99029,86670.99029,27,0.008428,0.024701,31,1.077331,0.039812,0.563111,17.782275
36,86665.93836,86671.61943,86671.61943,29,0.009726,0.020899,30,1.183161,0.077823,0.593736,19.043259
37,86666.25801,86672.11352,86672.11779,31,0.009976,0.017453,34,1.13907,0.053952,0.621165,20.236281
38,86669.46258,86672.72737,86672.7697,31,0.010626,0.033589,30,1.230981,0.042453,0.66538,21.509715
39,86671.43401,86673.17686,86673.2158,28,0.010254,0.03025,27,1.217833,0.035235,0.705884,22.762783
40,86671.67436,86673.73014,86673.73014,27,0.009536,0.019767,27,1.331821,0.051341,0.735187,24.145945
41,86672.80294,86674.2653,86674.32759,31,0.012402,0.035399,32,1.338237,0.058817,0.782988,25.542999
42,86673.09601,86674.92118,86674.92188,32,0.011792,0.027108,31,1.417366,0.071687,0.821888,27.032052
43,86674.12706,86675.14817,86675.39179,28,0.010684,0.027165,31,1.476339,0.05824,0.859737,28.566631
44,86674.48938,86675.63511,86675.72189,32,0.012417,0.03879,32,1.556638,0.054324,0.910944,30.177593
45,86675.2363,86676.20805,86676.21069,28,0.011614,0.046122,31,1.592012,0.078527,0.96868,31.848132
46,86675.6775,86677.62339,86677.62339,34,0.014519,0.048173,33,1.575877,0.09453,1.031372,33.518539
47,86676.4219,86678.45901,86678.47075,29,0.013035,0.044369,29,1.543076,0.085778,1.088776,35.147393
48,86676.91096,86678.97165,86678.97165,31,0.013481,0.045667,32,1.557935,0.092702,1.147924,36.79803
49,86678.19918,86679.41957,86679.42494,30,0.013476,0.031749,30,1.667216,0.095513,1.193149,38.560759
50,86678.77982,86680.18976,86680.18976,32,0.013864,0.031014,33,1.794453,0.107763,1.238027,40.462975
51,86679.4416,86680.87602,86680.87602,30,0.015388,0.051789,31,1.813889,0.099314,1.305204,42.376178
52,86680.16681,86681.51697,86681.71078,31,0.016034,0.047675,32,1.719229,0.082212,1.368913,44.177619
53,86680.88299,86682.77561,86683.0605,29,0.015045,0.066205,32,2.068567,0.112615,1.450163,46.358801
54,86681.58364,86682.97357,86683.27563,30,0.015569,0.054962,30,1.946202,0.088083,1.520694,48.393086
55,86681.78995,86683.373,86683.48481,29,0.014392,0.042355,31,2.250386,0.117035,1.577441,50.760507
56,86682.03589,86683.89302,86683.89302,33,0.01719,0.049589,36,2.34883,0.099029,1.64422,53.208366
57,86682.85786,86684.57289,86684.60017,31,0.016291,0.062154,32,2.188039,0.080139,1.722665,55.476544
58,86683.91923,86685.27048,86685.27048,33,0.018909,0.072983,36,2.289573,0.151087,1.814557,57.917204
59,86684.65317,86686.06378,86686.06378,31,0.017345,0.064659,30,2.178128,0.196426,1.896561,60.291758
60,86684.94751,86686.44443,86686.44443,29,0.015511,0.059419,32,2.205505,0.118774,1.971491,62.616037
61,86685.5104,86687.40545,86687.40545,32,0.017651,0.071209,35,2.701094,0.153387,2.060351,65.470518
62,86685.51055,86688.30087,86688.30087,31,0.017852,0.022806,33,2.402087,0.151723,2.101009,68.024328
63,86685.5677,86688.70989,86688.70989,30,0.019208,0.049634,29,2.204332,0.115555,2.169851,70.344215
64,86685.94159,86688.87772,86688.94723,31,0.017981,0.047183,33,2.666549,0.106283,2.235015,73.117047
65,86686.32102,86689.7186,86689.7273,32,0.018999,0.052982,32,2.931086,0.13547,2.306996,76.183603
66,86687.56528,86690.32659,86690.32659,29,0.017712,0.048678,33,2.72397,0.142149,2.373386,79.049722
67,86688.08758,86690.63897,86690.63897,29,0.017368,0.060267,34,2.928262,0.126357,2.451021,82.104341
68,86689.01999,86691.24874,86691.24874,30,0.018557,0.058843,32,2.598454,0.173041,2.528421,84.875836
69,86690.4437,86691.66433,86691.66433,30,0.022603,0.06143,33,2.863206,0.144231,2.612454,87.883273
70,86690.80265,86691.7661,86691.7777,30,0.019832,0.053352,33,2.968112,0.153161,2.685638,91.004546
71,86690.83588,86691.90078,86691.90082,31,0.020102,0.050719,36,3.055223,0.188798,2.756459,94.248567
72,86690.84688,86692.16047,86692.16047,30,0.021496,0.026896,39,3.756244,0.17099,2.804851,98.175801
73,86691.14655,86692.4761,86692.4761,34,0.021853,0.068643,37,3.345351,0.169586,2.895347,101.690738
74,86691.22239,86692.6547,86692.67291,34,0.028515,0.048615,42,3.452666,0.121649,2.972477,105.265053
75,86691.48465,86692.7491,86692.78374,31,0.023041,0.068137,36,4.031703,0.172166,3.063655,109.468922
76,86691.55896,86693.03472,86693.03472,34,0.023492,0.076865,40,4.3196,0.230726,3.164012,114.019248
77,86692.40225,86693.27205,86693.27205,37,0.026447,0.134851,41,4.100465,0.315182,3.32531,118.434895
78,86692.50402,86693.5912,86693.59134,32,0.024178,0.067232,41,4.233202,0.255251,3.41672,122.923348
79,86692.51758,86693.97825,86693.98333,31,0.023912,0.044642,38,4.118874,0.217221,3.485274,127.259443
80,86693.04922,86694.38571,86694.38571,33,0.029105,0.109253,42,4.443094,0.2195,3.623632,131.922037
81,86693.29901,86694.74999,86694.74999,35,0.027814,0.127788,40,4.269247,0.335763,3.779234,136.527047
82,86694.21031,86694.98356,86695.01538,33,0.025697,0.148591,36,4.318971,0.184528,3.953522,141.030546
83,86694.31805,86695.11179,86695.13957,31,0.029257,0.094485,35,4.186892,0.188315,4.077264,145.405753
84,86694.50788,86695.23607,86695.27341,34,0.026008,0.104678,39,4.358835,0.194165,4.20795,149.958753
85,86694.57627,86695.36183,86695.37332,34,0.028497,0.068358,36,4.209683,0.217054,4.304805,154.38549
86,86694.63147,86695.59134,86695.59159,32,0.025462,0.080094,42,5.063708,0.276512,4.410361,159.72571
87,86694.80695,86695.75909,86695.77332,33,0.028602,0.095807,39,4.585996,0.298955,4.53477,164.610661
88,86695.0574,86695.84007,86695.84262,34,0.030015,0.129357,42,4.988209,0.253949,4.694142,169.852819
89,86695.29716,86695.98478,86695.98478,34,0.030471,0.091648,44,5.444265,0.332754,4.816261,175.629838
90,86695.42904,86696.01357,86696.01647,34,0.028474,0.093915,40,5.872244,0.327911,4.93865,181.829993
91,86695.52633,86696.08569,86696.08569,33,0.027232,0.081396,48,6.154719,0.315072,5.047278,188.299784
92,86695.59857,86696.11281,86696.11395,32,0.027651,0.125624,44,5.9547,0.266822,5.200553,194.521306
93,86695.62351,86696.17373,86696.17454,32,0.028855,0.0825,43,6.384175,0.505635,5.311908,201.411116
94,86695.66128,86696.23518,86696.23518,32,0.028172,0.081257,38,6.188379,0.37504,5.421337,207.974535
95,86695.90517,86696.366,86696.366,30,0.027862,0.124818,41,7.662929,0.499286,5.574017,216.13675
96,86696.09927,86696.48631,86696.48631,33,0.030437,0.14212,41,6.05365,0.366037,5.746574,222.556437
97,86696.22102,86696.57964,86696.58658,34,0.031793,0.107961,38,5.960778,0.253079,5.886328,228.770294
98,86696.29337,86696.632,86696.7142,34,0.032564,0.116621,39,6.15042,0.375972,6.035513,235.296686
99,86696.32761,86696.728,86696.79803,36,0.034896,0.064114,39,6.706111,0.536039,6.134523,242.538836
