23588_presolved,bound_gmic,bound_vpc,bound_all_cuts,num_gmic,gmic_gen_time,gmic_apply_time,num_vpc,vpc_gen_time,vpc_apply_time,
0,7649.86613382250197901158,7649.86613382250197901158,7649.86613382250197901158,0,0.000000,0.002289,0,0.000000,0.002289,
1,7675.27431627028636285104,7753.97893531786485254997,7759.99215369863031810382,75,0.00281599999999999993,0.00941799999999999929,71,0.51018799999999997485,0.00813200000000000034,
2,7760.12402486007704283111,7797.79154498031584807904,7799.78400993184186518192,68,0.00436499999999999996,0.01365599999999999800,72,0.76079799999999997429,0.01176400000000000362,
3,7799.99999999923329596641,7803.42595013422578631435,7804.41055636527380556799,74,0.00687600000000000017,0.01390599999999999475,79,1.37388100000000012990,0.02922800000000000398,
4,7804.99999999922329152469,7809.66161194139385770541,7809.78623247425093722995,77,0.00944199999999999900,0.01317400000000000515,78,1.95867499999999994387,0.04054499999999996995,
5,7809.99999999923420546111,7824.82975458191867801361,7825.09380345698355085915,81,0.01220099999999999657,0.01724599999999999744,80,2.60592699999999943827,0.05228599999999999914,
6,7825.99999999913961801212,7834.31648290328121220227,7834.37014369543794600759,74,0.01357500000000000373,0.01531100000000000516,77,2.73175899999999938217,0.07038199999999994461,
7,7834.99999999922511051409,7837.72543199039955652552,7837.72701637416594167007,79,0.01653799999999999715,0.01464000000000000024,81,3.89838400000000007140,0.04029200000000010551,
8,7837.99999999924602889223,7840.41682559023593057645,7840.41682559023593057645,81,0.01976200000000000179,0.01335800000000000876,85,4.39265200000000177738,0.06730399999999980842,
9,7840.99999999922783899819,7842.23878583137229725253,7842.23878583136865927372,82,0.02289499999999999869,0.02179500000000000881,80,5.08793399999999707006,0.11233199999999987639,
10,7842.99999999920964910416,7843.05323874251280358294,7843.05323874251826055115,81,0.02550100000000000977,0.02710099999999998621,78,6.12707999999999941565,0.07432900000000008944,
11,7843.99999999906594894128,7843.14212013126325473422,7843.99999999906231096247,82,0.02733599999999999919,0.01822699999999999321,81,7.14454899999999781812,0.07258299999999984209,
12,7843.99999999906231096247,7844.65524002013171411818,7844.65524002013171411818,82,0.02981499999999998041,0.01898199999999999887,79,7.56578700000000026193,0.18094499999999991147,
13,7844.99999999923147697700,7846.01976326658495963784,7846.03557816876582364785,82,0.03265500000000001735,0.02212000000000000077,82,8.19641299999999972670,0.17792099999999999582,
14,7846.99999999896863300819,7846.39504586410112096928,7846.99999999896863300819,85,0.03632399999999996743,0.02245900000000000674,82,9.04845500000000413365,0.15973799999999993560,
15,7846.99999999897499947110,7847.81793512403146451106,7847.81793512403510248987,89,0.04061700000000001420,0.01801899999999997948,84,8.78071599999999108377,0.24733699999999991803,
16,7847.99999999923238647170,7848.85391619401798379840,7848.85391619402344076661,89,0.04458699999999998775,0.03746399999999999730,84,9.97325200000000222644,0.26340300000000027580,
17,7848.99999999923056748230,7849.01672877479632006725,7849.01672877479722956195,84,0.04459800000000002651,0.03345299999999995499,83,11.03699500000000455202,0.21149799999999974176,
18,7849.99999999865121935727,7849.98598398519243346527,7849.99999999864758137846,84,0.04639699999999996605,0.02741599999999999593,79,11.52343000000000472482,0.20866600000000001813,
19,7849.99999999864849087317,7851.27686655372508539585,7851.27686655372599489056,78,0.04607900000000003660,0.03767300000000001203,76,11.65091599999999516513,0.14675100000000007583,
20,7851.99999999920692062005,7851.42384071978358406341,7851.99999999921055859886,87,0.05217799999999994665,0.03118099999999995875,80,11.80820899999999085139,0.23868899999999904082,
21,7851.99999999920692062005,7851.54339448741302476265,7851.99999999920510163065,77,0.05167800000000000171,0.02320899999999997965,77,11.78349900000000616274,0.19311500000000059174,
22,7851.99999999921237758826,7851.76279701318526349496,7851.99999999920146365184,78,0.05642700000000000493,0.03952600000000000557,75,13.36718600000000378714,0.16548700000000060584,
23,7851.99999999920601112535,7852.55685421686484914972,7852.55685421686212066561,84,0.05880300000000004967,0.04785599999999995413,80,13.95582199999998351814,0.31906499999999837769,
24,7852.99999999923147697700,7853.78151394188807898900,7853.78151394189353595721,79,0.05981599999999998030,0.04167499999999990656,74,13.68253000000001406988,0.27161399999999957799,
25,7853.99999999923329596641,7854.01359501488786918344,7854.01824129393207840621,82,0.06755899999999992467,0.03847299999999997944,81,15.52167499999998767635,0.24849399999999910449,
26,7854.99999999870215106057,7854.39522436894094425952,7854.99999999870124156587,84,0.06968800000000008321,0.05017300000000002314,77,15.58737500000000864020,0.27968300000000034800,
27,7854.99999999870215106057,7854.87225915315775637282,7854.99999999870397004997,76,0.07056899999999999284,0.03369299999999997297,76,17.41716800000000375803,0.25102900000000083480,
28,7854.99999999870033207117,7855.25955801563668501331,7855.27615993605195399141,77,0.07487100000000002087,0.08001300000000000079,80,18.71923799999999005195,0.27873999999999909960,
29,7855.99999999920964910416,7855.25955801563668501331,7855.99999999921237758826,80,0.07270099999999990459,0.05496400000000001285,0,16.11294600000002219531,0.00000000000000000000,
