,PARAM INFO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOUND INFO,,,,,,,,,,,GAP INFO,,,,BB INFO,,,,,,,,ORIG PROB,,,,,,,,,,,,,POST-CUT PROB,,,,,,,,,,DISJ INFO,,,,,,,,,,,,CUT INFO,,,,,,,,,,OBJ INFO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAIL INFO,,,,,,,,,,,,,,,,,,,,FULL BB INFO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIME INFO,,,,,VERSION INFO,,,,,WRAP UP INFO,,,,END
neos-916792_presolved,-1,16,-1,0,4,5,0,0,1,1,0,1,1,1,0,0,0,0,628,1,536,10,3.60E+03,1.00E-07,3.19E+01,0.00E+00,3.60E+03,-1.00E+00,3.60E+03,26.28321689,26.87788872,28.3441252,31.87039837,88,26.50978677,0,,89,26.60986273,26.73341743,4.055173,,5.846344,8.05774,0,196526,0,196526,0,467.385,0,467.385,1413,1465,89,0.00182,0.46155,262,0,0,0,0,708,757,0.064229,84,0.00072,0.47018,0.084962,5,0,0,3,9,4,16,0,1,0.0490499,10378,683,16,10362,8,0,2,8,1,89,0,0,593,616,606.708,568,647,572.648,89,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,87,87,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.87039837,0,31.87039837,0,31.87039837,0,31.86726703,0,31.86726703,0,31.86726703,0,2027397,0,2027397,0,2027397,0,196526,0,196526,0,196526,0,15,0,15,0,15,0,26.60986273,0,26.60986273,0,26.60986273,0,26.68491522,0,26.68491522,0,26.68491522,0,1521,0,1521,0,1521,0,2.154,0,2.154,0,2.154,0,278.755,0,278.755,0,278.755,0,467.385,0,467.385,0,467.385,,,,,,,,,,,,31.87039837,31.86726703,2027397,196526,15,26.609863,26.684915,1521,2.154265,278.75511,467.384639,0.08,46.68,0.19,468.63,515.63,#fc3db01,#0152c5f,#8bd9396,9.11,20.1.0,CUT_LIMIT,Sun Jun 27 18:26:27 2021,515,neos-916792_presolved,DONE
neos-933562_presolved,-1,16,-1,0,4,5,0,0,1,1,0,1,1,1,0,0,0,0,628,1,536,10,3.60E+03,1.00E-07,1.80E+01,0.00E+00,3.60E+03,-1.00E+00,3.60E+03,0,0,0.875,18,361,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,568,1184,368,0.00051,0.49757,252,0,0,0,0,1176,8,0.017665,368,0.00051,0.49757,0.017665,16,0,0,0,16,0,16,0,1,0.195051,14403,957,16,14387,10,0,3,6,1,0,0,0,0,0,0,1184,1184,1184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0.05,70.06,0.03,0,70.17,#fc3db01,#0152c5f,#8bd9396,9.11,20.1.0,PRLP_TIME_LIMIT,Sun Jun 27 18:19:35 2021,70,neos-933562_presolved,DONE
neos-942830_presolved,-1,16,-1,0,4,5,0,0,1,1,0,1,1,1,0,0,0,0,628,1,536,10,3.60E+03,1.00E-07,1.60E+01,0.00E+00,3.60E+03,-1.00E+00,3.60E+03,12,12,17,16,250,12.25,0,,2,12,12.25,6.25,,0,6.25,0,502398,0,502398,0,3600,0,3600,589,831,263,0.00018,0.5,216,0,0,0,0,783,48,0.019246,266,0.0013,0.49983,0.019508,15,1,2,2,15,2,16,0,1,0.123929,9729,634,16,9713,9,0,2,9,1,2,0,0,26,135,80.5,42,807,791.28,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,15.99999914,0,15.99999914,0,15.99999914,0,15,0,15,0,15,0,46391871,0,46391871,0,46391871,0,502398,0,502398,0,502398,0,13,0,13,0,13,0,12.5,0,12.5,0,12.5,0,13,0,13,0,13,0,9851,0,9851,0,9851,0,0.875,0,0.875,0,0.875,0,2290.451,0,2290.451,0,2290.451,0,3600,0,3600,0,3600,,,,,,,,,,,,15.99999914,15,46391871,502398,13,12.5,13,9851,0.875446,2290.450655,3600.000249,0.02,18.66,0.06,3608.9,3627.65,#fc3db01,#0152c5f,#8bd9396,9.11,20.1.0,SUCCESS,Sun Jun 27 19:19:13 2021,3619,neos-942830_presolved,DONE
neos-955215_presolved,-1,16,-1,0,4,5,0,0,1,1,0,1,1,1,0,0,0,0,628,1,536,10,3.60E+03,1.00E-07,4.47E+02,0.00E+00,3.60E+03,-1.00E+00,3.60E+03,420.92,420.92,423.222792,446.5,26,424.5266528,0,,0,,424.5266528,14.099503,,0,14.099503,0,0,0,0,0,0,0,0,702,1323,26,0.03922,0.44444,51,0,0,0,0,630,693,0.00346,26,0.03922,0.44444,0.00346,20,0,0,0,20,0,16,0,1,0.00386989,6961,1070,16,6945,9,0,3,6,1,0,0,0,0,0,0,59,512,186.269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0.02,1.09,0,0,1.11,#fc3db01,#0152c5f,#8bd9396,9.11,20.1.0,PRLP_INFEASIBLE,Sun Jun 27 18:19:36 2021,1,neos-955215_presolved,DONE
neos11_presolved,-1,16,-1,0,4,5,0,0,1,1,0,1,1,1,0,0,0,0,628,1,536,10,3.60E+03,1.00E-07,9.00E+00,0.00E+00,3.60E+03,-1.00E+00,3.60E+03,6,6,7.257142857,9,312,6,0,,0,,6,0,,0,0,0,0,0,0,0,0,0,0,2490,1113,323,0.00112,0.49917,240,0,0,0,10,960,143,0.00304,323,0.00112,0.49917,0.00304,16,0,0,0,16,0,16,0,1,0.133963,11173,917,16,11157,9,0,3,6,1,0,0,0,0,0,0,707,720,712.936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0.08,39.88,0.03,0,40.01,#fc3db01,#0152c5f,#8bd9396,9.11,20.1.0,PRLP_INFEASIBLE,Sun Jun 27 18:20:16 2021,40,neos11_presolved,DONE
neos14_presolved,-1,16,-1,0,4,5,0,0,1,1,0,1,1,1,0,0,0,0,628,1,536,10,3.60E+03,1.00E-07,7.43E+04,0.00E+00,3.60E+03,-1.00E+00,3.60E+03,32734.11478,34516.20737,36740.73607,74333.34334,130,55809.33069,0,,8,33791.05484,56061.82215,55.470298,,2.540768,56.07726,0,74019,0,74019,0,110.368,0,110.368,438,677,130,0.02603,0.26126,234,0,0,0,0,131,546,0.00518,129,0.02603,0.48949,0.005587,96,0,1,8,95,1,16,0,1,0.0333952,245,88,16,229,8,0,3,5,1,8,0,0,14,30,18.875,4,14,6.923,8,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74333.34334,0,74333.34334,0,74333.34334,0,74326.7528,0,74326.7528,0,74326.7528,0,1590337,0,1590337,0,1590337,0,74019,0,74019,0,74019,0,12,0,12,0,12,0,59071.09778,0,59071.09778,0,59071.09778,0,66554.23904,0,66554.23904,0,66554.23904,0,931,0,931,0,931,0,0.139,0,0.139,0,0.139,0,6.619,0,6.619,0,6.619,0,110.368,0,110.368,0,110.368,,,,,,,,,,,,74333.34334,74326.7528,1590337,74019,12,59071.09778,66554.23904,931,0.13927,6.618766,110.367924,0,0.21,0,110.65,110.87,#fc3db01,#0152c5f,#8bd9396,9.11,20.1.0,SUCCESS,Sun Jun 27 18:22:07 2021,110,neos14_presolved,DONE
neos15_presolved,-1,16,-1,0,4,5,0,0,1,1,0,1,1,1,0,0,0,0,628,1,536,10,3.60E+03,1.00E-07,8.06E+04,0.00E+00,3.60E+03,-1.00E+00,3.60E+03,33463.7701,35245.8627,37470.39139,80598.4301,153,56466.4989,0,,8,34520.71016,56715.13642,48.802153,,2.242384,49.329657,0,96222,0,96222,0,579.732,0,579.732,461,700,153,0.02603,0.26126,234,0,0,0,0,154,546,0.004902,152,0.02603,0.48949,0.005279,97,0,1,8,96,1,16,0,1,0.0333952,245,88,16,229,8,0,3,5,1,8,0,0,14,30,18.875,4,14,7.085,8,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80598.4301,0,80598.4301,0,80598.4301,0,80590.47428,0,80590.47428,0,80590.47428,0,7371327,0,7371327,0,7371327,0,96222,0,96222,0,96222,0,12,0,12,0,12,0,62279.93173,0,62279.93173,0,62279.93173,0,70503.22389,0,70503.22389,0,70503.22389,0,1190,0,1190,0,1190,0,0.188,0,0.188,0,0.188,0,379.035,0,379.035,0,379.035,0,579.732,0,579.732,0,579.732,,,,,,,,,,,,80598.4301,80590.47428,7371327,96222,12,62279.93173,70503.22389,1190,0.187925,379.034881,579.732326,0,0.23,0,581.15,581.39,#fc3db01,#0152c5f,#8bd9396,9.11,20.1.0,SUCCESS,Sun Jun 27 18:31:47 2021,580,neos15_presolved,DONE
n7-3_presolved,-1,2,-1,0,4,5,0,0,1,1,0,1,1,1,0,0,0,0,628,1,536,10,3.60E+03,1.00E-07,1.54E+04,0.00E+00,3.60E+03,-1.00E+00,3.60E+03,12462.94118,12633.52941,12706.96395,15426,30,12995.2901,0,,10,12602.35294,13032.05042,17.966195,,4.704995,19.206816,0,475,0,475,0,5.243,0,5.243,960,2772,30,0.01961,0.4902,924,0,0,0,108,0,2664,0.003057,30,0.01961,0.4902,0.004121,11,0,0,8,10,2,2,0,1,0.00268335,1611,988,2,1609,1,0,1,1,1,10,0,0,105,420,294.6,89,701,314.4,62,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,60,9,51,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,1,0,51,0,0,0,0,0,0,0,0,0,0,0,0,15426,0,15426,0,15426,0,15426,0,15426,0,15426,0,42453,0,42453,0,42453,0,475,0,475,0,475,0,26,0,26,0,26,0,14099.11129,0,14099.11129,0,14099.11129,0,15009.16945,0,15009.16945,0,15009.16945,0,3259,0,3259,0,3259,0,0.953,0,0.953,0,0.953,0,5.088,0,5.088,0,5.088,0,5.243,0,5.243,0,5.243,,,,,,,,,,,,15426,15426,42453,475,26,14099.11129,15009.16945,3259,0.952853,5.088134,5.242896,0.03,0.62,0.02,5.26,5.94,#fc3db01,#0152c5f,#8bd9396,9.11,20.1.0,SUCCESS,Sat Jun 26 17:11:27 2021,6,n7-3_presolved,DONE
neos16_presolved,-1,16,-1,0,4,5,0,0,1,1,0,1,1,1,0,0,0,0,628,1,536,10,3.60E+03,1.00E-07,4.46E+02,0.00E+00,3.60E+03,-1.00E+00,3.60E+03,429,429,434,446,90,429.4722222,0,,91,429,429.4722222,2.777778,,0,2.777778,0,1331,0,1331,0,2.457,0,2.457,346,208,91,0.07143,0.5,9,0,0,0,40,168,0,0.015118,116,0.00779,0.47974,0.047824,26,0,7,9,26,0,16,0,1,0.0873731,446,95,16,430,9,0,2,7,1,91,0,0,21,51,35.813,2,34,13.922,135,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,134,90,44,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,1,0,0,0,0,446,0,446,0,446,0,446,0,446,0,446,0,54346,0,54346,0,54346,0,1331,0,1331,0,1331,0,13,0,13,0,13,0,436.0088889,0,436.0088889,0,436.0088889,0,446,0,446,0,446,0,1355,0,1355,0,1355,0,0.095,0,0.095,0,0.095,0,2.456,0,2.456,0,2.456,0,2.457,0,2.457,0,2.457,,,,,,,,,,,,446,446,54346,1331,13,436.008889,446,1355,0.094742,2.456065,2.45659,0,0.31,0,2.47,2.79,#fc3db01,#0152c5f,#8bd9396,9.11,20.1.0,CUT_LIMIT,Sun Jun 27 18:22:54 2021,3,neos16_presolved,DONE
neos17_presolved,-1,16,-1,0,4,5,0,0,1,1,0,1,1,1,0,0,0,0,628,1,536,10,3.60E+03,1.00E-07,1.50E-01,0.00E+00,3.60E+03,-1.00E+00,3.60E+03,0.000681499,0.001740989,0.119630889,0.150002577,7,0.000695464,0,,48,0.001143956,0.001147929,0.009353,,0.309706,0.312367,0,1524,0,1524,0,1.865,0,1.865,486,511,171,0.002,0.00799,1,0,0,0,0,300,211,0.012861,171,0.002,0.40077,0.030025,1,0,0,9,2,9,16,0,1,0.0701652,518,408,16,502,8,0,3,5,1,48,0,0,32,124,104.146,29,33,31.429,49,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,47,47,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150002577,0,0.150002577,0,0.150002577,0,0.150002577,0,0.150002577,0,0.150002577,0,22691,0,22691,0,22691,0,1524,0,1524,0,1524,0,10,0,10,0,10,0,0.117047064,0,0.117047064,0,0.117047064,0,0.133050984,0,0.133050984,0,0.133050984,0,1689,0,1689,0,1689,0,0.194,0,0.194,0,0.194,0,1.695,0,1.695,0,1.695,0,1.865,0,1.865,0,1.865,,,,,,,,,,,,0.150002577,0.150002577,22691,1524,10,0.117047,0.133051,1689,0.193903,1.695056,1.865162,0.01,0.96,0.04,1.87,2.88,#fc3db01,#0152c5f,#8bd9396,9.11,20.1.0,SUCCESS,Sun Jun 27 18:22:57 2021,3,neos17_presolved,DONE
neos18_presolved,-1,16,-1,0,4,5,0,0,1,1,0,1,1,1,0,0,0,0,628,1,536,10,3.60E+03,1.00E-07,1.60E+01,0.00E+00,3.60E+03,-1.00E+00,3.60E+03,8.333333333,8.333333333,10.5,16,564,9.2,0,,2,8.333333333,9.2,11.304348,,0,11.304348,0,1575,0,1575,0,2.397,0,2.397,3058,760,564,0.01075,0.5,0,0,0,0,0,760,0,0.003431,562,0.01075,0.5,0.003429,64,0,2,2,64,2,16,0,1,0.0470274,2891,663,16,2875,9,0,2,8,1,2,2,0,1,1,1,2,61,16.592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,16,0,16,0,16,0,16,0,16,0,16,0,37763,0,37763,0,37763,0,1575,0,1575,0,1575,0,22,0,22,0,22,0,13,0,13,0,13,0,13.14893617,0,13.14893617,0,13.14893617,0,4609,0,4609,0,4609,0,0.429,0,0.429,0,0.429,0,0.159,0,0.159,0,0.159,0,2.397,0,2.397,0,2.397,,,,,,,,,,,,16,16,37763,1575,22,13,13.148936,4609,0.428841,0.158935,2.397453,0.04,2.1,0.01,2.41,4.57,#fc3db01,#0152c5f,#8bd9396,9.11,20.1.0,PRLP_INFEASIBLE,Sun Jun 27 18:23:01 2021,4,neos18_presolved,DONE
neos2_presolved,-1,16,-1,0,4,5,0,0,1,1,0,1,1,1,0,0,0,0,628,1,536,10,3.60E+03,1.00E-07,4.55E+02,0.00E+00,3.60E+03,-1.00E+00,3.60E+03,-2501.144925,-2501.144925,1047.166657,454.864697,20,-2406.096928,0,,20,-2501.144925,-2406.096928,3.215416,,0,3.215416,0,446,0,446,0,1.292,0,1.292,793,1487,20,0.07484,0.4661,39,0,0,0,0,735,752,0.004033,21,0.04178,0.45226,0.007412,16,0,0,20,16,1,13,0,1,0.00670191,7684,1373,13,7671,9,1,3,10,1,20,0,0,79,221,210.25,150,260,207.45,21,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,454.864697,0,454.864697,0,454.864697,0,454.864697,0,454.864697,0,454.864697,0,16112,0,16112,0,16112,0,446,0,446,0,446,0,37,0,37,0,37,0,-2307.380407,0,-2307.380407,0,-2307.380407,0,-1840.024288,0,-1840.024288,0,-1840.024288,0,3754,0,3754,0,3754,0,0.561,0,0.561,0,0.561,0,1.282,0,1.282,0,1.282,0,1.292,0,1.292,0,1.292,,,,,,,,,,,,454.864697,454.864697,16112,446,37,-2307.380407,-1840.024288,3754,0.560904,1.281793,1.292175,0,4.49,0.01,1.31,5.81,#fc3db01,#0152c5f,#8bd9396,9.11,20.1.0,CUT_LIMIT,Sun Jun 27 18:23:07 2021,6,neos2_presolved,DONE
neos20_presolved,-1,16,-1,0,4,5,0,0,1,1,0,1,1,1,0,0,0,0,628,1,536,10,3.60E+03,1.00E-07,-4.34E+02,0.00E+00,3.60E+03,-1.00E+00,3.60E+03,-475,-475,-318.6511735,-434,161,-475,0,,0,,-475,0,,0,0,0,0,0,0,0,0,0,0,1145,590,193,0.00312,0.5,70,0,0,0,24,566,0,0.005915,193,0.00312,0.5,0.005915,51,0,0,0,51,0,16,0,1,0.0655038,1824,403,16,1808,9,0,3,6,1,0,0,0,0,0,0,4,55,19.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0.01,0.85,0,0,0.86,#fc3db01,#0152c5f,#8bd9396,9.11,20.1.0,PRLP_INFEASIBLE,Sun Jun 27 18:23:08 2021,1,neos20_presolved,DONE
neos22_presolved,-1,4,-1,0,4,5,0,0,1,1,0,1,1,1,0,0,0,0,628,1,536,10,3.60E+03,1.00E-07,7.80E+05,0.00E+00,3.60E+03,-1.00E+00,3.60E+03,777191.4286,777191.4286,777191.4286,779715,66,777338.4286,0,,0,,777338.4286,5.825078,,0,5.825078,0,0,0,0,0,0,0,0,3148,2066,66,0.14286,0.4,24,0,0,0,0,907,1159,0.001263,66,0.14286,0.4,0.001263,48,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,58,201,120.364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0.04,0.63,0,0,0.69,#fc3db01,#0152c5f,#8bd9396,9.11,20.1.0,NO_CUTS_LIKELY,Sun Jun 27 02:55:59 2021,1,neos22_presolved,DONE
neos3_presolved,-1,16,-1,0,4,5,0,0,1,1,0,1,1,1,0,0,0,0,628,1,536,10,3.60E+03,1.00E-07,3.69E+02,0.00E+00,3.60E+03,-1.00E+00,3.60E+03,-4507.694976,-4093.248217,1381.729461,368.842751,27,-4385.185621,0,,27,-4332.182937,-4211.783817,2.51222,,3.599112,6.068058,0,2938,0,2938,0,8.206,0,8.206,1146,2160,27,0.04651,0.48571,51,0,0,0,0,1069,1091,0.002829,38,0.04489,0.5,0.004798,18,0,0,24,18,23,12,0,1,0.00571283,8755,1895,12,8743,8,0,2,8,1,27,0,0,88,273,190.852,150,320,224.815,28,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368.842751,0,368.842751,0,368.842751,0,368.842751,0,368.842751,0,368.842751,0,149703,0,149703,0,149703,0,2938,0,2938,0,2938,0,27,0,27,0,27,0,-4033.615293,0,-4033.615293,0,-4033.615293,0,-3499.878211,0,-3499.878211,0,-3499.878211,0,4289,0,4289,0,4289,0,0.815,0,0.815,0,0.815,0,8.107,0,8.107,0,8.107,0,8.206,0,8.206,0,8.206,,,,,,,,,,,,368.842751,368.842751,149703,2938,27,-4033.615293,-3499.878211,4289,0.81522,8.106894,8.206202,0,6.28,0.01,8.24,14.55,#fc3db01,#0152c5f,#8bd9396,9.11,20.1.0,CUT_LIMIT,Sun Jun 27 18:23:26 2021,15,neos3_presolved,DONE
neos5_presolved,-1,16,-1,0,4,5,0,0,1,1,0,1,1,1,0,0,0,0,628,1,536,10,3.60E+03,1.00E-07,1.50E+01,0.00E+00,3.60E+03,-1.00E+00,3.60E+03,13,13.4375,13.875,15,35,13.22222222,0,,1,13.4375,13.4375,11.111111,,21.875,21.875,0,521223,0,521223,0,378.845,0,378.845,63,63,35,0.25,0.5,0,0,0,0,0,53,10,0.507937,34,0.0125,0.49375,0.515625,15,0,0,1,1,1,16,0,1,0.227779,957,63,16,941,9,0,3,5,1,1,0,0,63,63,63,63,63,63,21,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,14.99999957,0,14.99999957,0,14.99999957,0,14.99855212,0,14.99855212,0,14.99855212,0,10682209,0,10682209,0,10682209,0,521223,0,521223,0,521223,0,10,0,10,0,10,0,13.4375,0,13.4375,0,13.4375,0,13.4375,0,13.4375,0,13.4375,0,311,0,311,0,311,0,0.051,0,0.051,0,0.051,0,253.976,0,253.976,0,253.976,0,378.845,0,378.845,0,378.845,,,,,,,,,,,,14.99999957,14.99855212,10682209,521223,10,13.4375,13.4375,311,0.050999,253.975681,378.844729,0.01,0.26,0,379.77,380.04,#fc3db01,#0152c5f,#8bd9396,9.11,20.1.0,FAIL_LIMIT,Sun Jun 27 18:29:45 2021,379,neos5_presolved,DONE
neos7_presolved,-1,16,-1,0,4,5,0,0,1,1,0,1,1,1,0,0,0,0,628,1,536,10,3.60E+03,1.00E-07,7.22E+05,0.00E+00,3.60E+03,-1.00E+00,3.60E+03,677067.4085,685852.9783,708463.8246,721934,19,687463.8246,0,,1,678460.2657,687463.8246,23.171843,,3.104442,23.171843,0,2664,0,2664,0,2.565,0,2.565,1807,1501,33,0.0648,0.5,430,0,0,0,19,411,1071,0.001922,33,0.00067,0.5,0.001923,7,0,1,1,7,0,16,0,1,0.0072984,13995,1063,16,13979,9,0,3,6,1,1,0,0,5,5,5,6,1153,237.368,5,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,721933.9826,0,721933.9826,0,721933.9826,0,721933.9826,0,721933.9826,0,721933.9826,0,13899,0,13899,0,13899,0,2664,0,2664,0,2664,0,16,0,16,0,16,0,692797.158,0,692797.158,0,692797.158,0,699050.3952,0,699050.3952,0,699050.3952,0,1307,0,1307,0,1307,0,0.237,0,0.237,0,0.237,0,2.558,0,2.558,0,2.558,0,2.565,0,2.565,0,2.565,,,,,,,,,,,,721933.9826,721933.9826,13899,2664,16,692797.158,699050.3952,1307,0.237314,2.558168,2.564665,0.01,7.29,0.01,2.58,9.89,#fc3db01,#0152c5f,#8bd9396,9.11,20.1.0,SUCCESS,Sun Jun 27 18:26:37 2021,10,neos7_presolved,DONE
