23588_presolved,bound_gmic,bound_vpc,bound_all_cuts,num_gmic,gmic_gen_time,gmic_apply_time,gmic_cond_num1,gmic_cond_num2,num_vpc,vpc_gen_time,vpc_apply_time,vpc_cond_num1,vpc_cond_num2,
0,7649.86613382250197901158,7649.86613382250197901158,7649.86613382250197901158,0,0.000000,0.003229,0.00000000000000000000,1586924.24585806974209845066,0,0.000000,0.003229,0.00000000000000000000,1586924.24585806974209845066,
1,7675.27431627028636285104,7649.86613382250197901158,7675.27431627028636285104,75,0.00474299999999999982,0.01307199999999999855,0.00000000000000000000,65426014.75301941484212875366,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,
2,7688.02923206481591478223,7649.86613382250197901158,7688.02923206481591478223,71,0.00598900000000000040,0.01535599999999999812,0.00000000000000000000,97005401.23168846964836120605,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,
3,7707.96661312056949100224,7649.86613382250197901158,7707.96661312056949100224,69,0.00642700000000000042,0.03405899999999999900,0.00000000000000000000,67841278.38450750708580017090,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,
4,7720.13541724139849975472,7649.86613382250197901158,7720.13541724139849975472,68,0.00658599999999999811,0.02658199999999999452,0.00000000000000000000,1054401596.45674121379852294922,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,
5,7725.75358368779689044459,7649.86613382250197901158,7725.75358368779689044459,75,0.00826300000000000298,0.04131399999999998962,0.00000000000000000000,1069654988.25018560886383056641,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,
6,7727.98638443336221826030,7649.86613382250197901158,7727.98638443336221826030,77,0.00974399999999999572,0.04267400000000001747,0.00000000000000000000,2010526642.75942611694335937500,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,
7,7728.82711056823154649464,7649.86613382250197901158,7728.82711056823154649464,74,0.01310200000000000253,0.03382200000000001872,0.00000000000000000000,7006216590.68282127380371093750,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,
8,7730.37008883180169505067,7649.86613382250197901158,7730.37008883180169505067,71,0.01104199999999999626,0.03390999999999999570,0.00000000000000000000,6892174766.37188434600830078125,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,
9,7731.21863818806286872132,7649.86613382250197901158,7731.21863818806286872132,76,0.01244399999999999673,0.06766400000000002968,0.00000000000000000000,7094870508.34448242187500000000,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,
10,7731.99999999920237314655,7649.86613382250197901158,7731.99999999920237314655,72,0.01314099999999999990,0.02261099999999999222,0.00000000000000000000,4172832640.65026187896728515625,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,
11,7731.99999999920328264125,7649.86613382250197901158,7731.99999999920328264125,73,0.01438200000000000589,0.06478600000000001025,0.00000000000000000000,16459973387.57823371887207031250,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,
12,7731.99999999920055415714,7649.86613382250197901158,7731.99999999920055415714,75,0.01649399999999999478,0.05226500000000000590,0.00000000000000000000,18274983249.13960647583007812500,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,
13,7731.99999999919691617833,7649.86613382250197901158,7731.99999999919691617833,72,0.01773500000000000076,0.05262800000000000811,0.00000000000000000000,30769258508.59093093872070312500,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,
14,7731.99999999920055415714,7649.86613382250197901158,7731.99999999920055415714,74,0.01716999999999999083,0.03976799999999991453,0.00000000000000000000,14442161137.97474670410156250000,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,
15,7732.11336363021928264061,7649.86613382250197901158,7732.11336363021928264061,75,0.01984500000000000153,0.07613800000000003898,0.00000000000000000000,10692639916.67873573303222656250,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,
16,7732.99999999916053639026,7649.86613382250197901158,7732.99999999916053639026,75,0.02084300000000000042,0.04858199999999990304,0.00000000000000000000,7332549201.86752700805664062500,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,
