iis-bupa-cov_presolved,bound_gmic,bound_vpc,bound_all_cuts,num_gmic,gmic_gen_time,gmic_apply_time,num_vpc,vpc_gen_time,vpc_apply_time,
0,26.49721687754318111274,26.49721687754318111274,26.49721687754318111274,0,0.000000,0.207703,0,0.000000,0.207703,
1,26.57796607348382877944,26.82439865421281766089,26.82618248440789443521,151,0.01802099999999999883,0.27072099999999998943,80,3.55355699999999963268,0.29477100000000000524,
2,26.81911503175545874456,26.95198307608935905932,26.95198307608935195390,154,0.02478599999999999901,0.21631200000000000427,98,4.27885299999999979548,0.24516899999999997029,
3,26.91518681887863451152,27.03234494918570263167,27.03390565992018323982,152,0.03471799999999999886,0.27838299999999999157,97,5.41859600000000085629,0.32264400000000015289,
4,26.99273919160385304394,27.08628719398161877052,27.08629372387605371841,149,0.04339899999999999314,0.32675399999999987788,97,6.79852999999999951797,0.43605299999999980187,
5,27.04773726407023204388,27.10819886030528635956,27.10972396105045234549,152,0.05176899999999999558,0.45594100000000015172,116,8.60850299999999890588,0.41344199999999986517,
6,27.06645258816880073027,27.11828000850756481555,27.12237918162503547137,146,0.05376600000000000823,0.33703399999999983372,103,8.68062999999999718170,0.30194300000000051654,
7,27.08035140500758330973,27.13995747610448461273,27.13995747610448461273,149,0.06912199999999998901,0.31703199999999998049,87,11.18136799999999908550,0.68446799999999896613,
8,27.10524691022239451854,27.15572891113505704652,27.15675928017956053395,155,0.07830399999999998473,0.61715799999999987335,98,11.82250499999999959755,0.77991400000000155046,
9,27.11743006137360367802,27.16180019874189355278,27.16306944296330172506,150,0.09835700000000002774,0.74994300000000002626,135,15.37275700000000711043,0.84833700000000078489,
10,27.13054226938675839165,27.17400056114239248473,27.17400056114241380101,154,0.13595200000000001728,0.79190599999999999881,112,20.46174899999999752254,1.46557999999999921670,
11,27.13957735661970360752,27.18418811023250469816,27.18418811023251535630,160,0.12803699999999995640,0.67695900000000008845,113,19.32346899999998868225,1.18909599999999926467,
12,27.15460758028466869973,27.20373858745657003055,27.20373858745656647784,164,0.13009199999999998543,0.67853000000000029956,78,18.00474200000000735145,1.14799599999999912825,
13,27.16786606453060315403,27.21320340156259831588,27.21320340156256989417,155,0.13097499999999995257,0.70971299999999981623,124,20.13499400000000605360,1.15784899999999879583,
14,27.18790006735353870226,27.22075691003146147295,27.22173694421473300054,154,0.15367300000000005955,0.84433899999999972863,126,22.99600499999999669853,1.02038600000000201362,
15,27.19631036648075905759,27.22975671324174840038,27.22975671732518421209,159,0.17357599999999995255,0.76818900000000045480,88,23.61613900000000398904,1.67251899999999409374,
16,27.21394403414760532200,27.23720104077571946277,27.23734933477114594780,155,0.17689700000000008195,1.41925299999999943168,114,28.58601799999999570900,2.00317000000000433602,
17,27.21783616880012246497,27.24164383832516023176,27.24164736341968406919,150,0.16898899999999983379,0.69380400000000008731,60,29.32358199999998760177,1.77593999999999141437,
18,27.22422840276305677776,27.24727599331875182997,27.24727599331874827726,157,0.19284400000000001540,0.87126400000000003843,94,28.22491500000000996806,1.34826900000000193813,
19,27.23097430095848991982,27.25021854162593371029,27.25083894741709400478,156,0.20261399999999984978,1.08096800000000037301,127,34.81237799999996695988,1.00389100000001008084,
20,27.23622022219028693257,27.25396155652525465030,27.25400161583144864608,158,0.23636400000000001853,1.00255999999999900751,95,37.57225700000003598689,1.79944299999999657302,
21,27.23989741890556715020,27.26004337040909675238,27.26004337040909675238,158,0.24375999999999997669,0.88654799999999944760,120,49.52587799999997741907,2.21605399999999974625,
22,27.24326708746870551181,27.27499436743994820631,27.27499436743997662802,160,0.30995900000000009555,1.21923100000000061982,95,50.92735499999997728082,3.77640900000000101500,
23,27.24718955560373956359,27.27699194617009936792,27.27804368488733288700,157,0.29951300000000014023,1.37137999999999848910,128,43.03834800000004179310,1.41103499999999826287,
24,27.25110917828363810145,27.28163147629152263107,27.28191287613343263274,159,0.37624600000000008038,1.21728200000000086334,124,55.88465200000001686931,2.48279200000001765147,
25,27.25365304010199807294,27.29602292642769612030,27.29602292642772098930,155,0.35317799999999976990,0.87299900000000008049,93,51.55358100000000831642,3.43219100000001731132,
26,27.25435718361983816749,27.29841676938806926955,27.30070359804162904993,152,0.36331600000000019435,1.00785000000000124487,106,42.35590299999989838398,1.21712099999999168176,
27,27.25744505466521161452,27.30372643137779320455,27.30423989848611299180,152,0.39175000000000004263,1.44134099999999776287,108,51.95391600000004928006,2.30377699999999663305,
