23588_presolved,bound_gmic,bound_vpc,bound_all_cuts,num_gmic,gmic_gen_time,gmic_apply_time,num_vpc,vpc_gen_time,vpc_apply_time,
0,7649.86613382250197901158,7649.86613382250197901158,7649.86613382250197901158,0,0.000000,0.003996,0,0.000000,0.003996,
1,7675.27431627029454830335,7716.47134846428889431991,7718.54646246005540888291,74,0.00525799999999999965,0.01092699999999999921,59,0.28308299999999997354,0.02414499999999999980,
2,7714.27002958945195132401,7737.41027224785466387402,7741.40041930069128284231,76,0.00823300000000000073,0.02378199999999999759,65,0.46148100000000003007,0.03909599999999999881,
3,7745.08352993260450602975,7759.78564624833416019101,7760.19560897083556483267,75,0.01037799999999999834,0.03447599999999999970,55,0.58974299999999990618,0.07583099999999999563,
4,7760.99999999920237314655,7765.76901613056816131575,7765.76914598658822797006,73,0.01174400000000000097,0.02486199999999999521,79,0.90449199999999985167,0.12792399999999998217,
5,7762.36266975865964923287,7779.33815641237106319750,7779.85876760232349624857,32,0.01227799999999999725,0.02638999999999999679,55,0.99164500000000010971,0.15367699999999995253,
6,7763.48704125306267087581,7781.60261201875073311385,7782.05076112749156891368,40,0.01329100000000000420,0.01757200000000000428,80,1.13637999999999950163,0.11976399999999998158,
7,7782.99999999905412551016,7784.20378565490955224959,7784.31991144019957573619,75,0.01817199999999999371,0.01933399999999999008,75,1.61642900000000011573,0.17139099999999996005,
8,7782.99999999905867298367,7786.07984565441347513115,7786.32134607983516616514,9,0.01644299999999999928,0.01508600000000001606,77,1.85323900000000030275,0.18359999999999998543,
9,7783.56021733535544626648,7788.37997541985987481894,7788.93597865451829420635,32,0.01866800000000000403,0.04389999999999999458,79,1.94837300000000013256,0.21526500000000003965,
10,7785.01234445464251621161,7789.67894486235763906734,7790.16429463450276671210,36,0.02146900000000000197,0.03472900000000000986,82,1.96603599999999900660,0.15216099999999999071,
11,7790.99999999919327819953,7790.98838307662663282827,7791.11967745228866988327,65,0.02420600000000000529,0.03156899999999995821,86,2.65075299999999991485,0.15132699999999976725,
12,7791.99999999916781234788,7791.97885247003614495043,7791.99999999916690285318,1,0.02241499999999999049,0.01556400000000002226,81,2.74764600000000136504,0.15424400000000026978,
13,7791.99999999917145032668,7791.98148332266646320932,7791.99999999917054083198,5,0.03091399999999999704,0.01388000000000000345,84,2.99325699999999983447,0.18209499999999989583,
