bm23,bound_gmic,bound_vpc,bound_all_cuts,num_gmic,gmic_gen_time,gmic_apply_time,num_vpc,vpc_gen_time,vpc_apply_time,
0,20.57092176323557097817,20.57092176323557097817,20.57092176323557097817,0,0.000000,0.000728,0,0.000000,0.000728,
1,22.82830191756425719518,22.77005978420654130900,23.37345724628552545710,6,0.00025399999999999999,0.00073600000000000000,6,0.01414599999999999885,0.00040999999999999999,
2,23.49427007392722188683,23.34142692697880505648,23.67101287587045987948,9,0.00019999999999999998,0.00041800000000000008,9,0.01733200000000000018,0.00032299999999999994,
3,23.68730098055457489181,23.53683831819494187698,23.84401569751100069539,8,0.00015700000000000002,0.00034200000000000007,10,0.02192899999999999711,0.00064500000000000017,
4,23.90482794419360246252,24.00226457438546390222,24.22208867548346589160,11,0.00014700000000000000,0.00051999999999999985,9,0.02463100000000000012,0.00055499999999999994,
5,24.36484318989030128932,24.15518026241446492008,24.42111089947364632735,12,0.00046799999999999988,0.00076699999999999989,11,0.03411599999999999355,0.00117200000000000030,
6,24.41368040666507965852,24.41792253804178258747,24.47070106756256535618,11,0.00029600000000000004,0.00069499999999999987,10,0.03335200000000000664,0.00097000000000000038,
7,24.53977103626160527483,24.68112363854326929413,24.68112363854325508328,12,0.00018500000000000005,0.00063200000000000018,11,0.03481699999999998685,0.00096299999999999858,
8,24.63496504105344797608,24.88846190684862946796,24.88846190684863302067,11,0.00030799999999999990,0.00067299999999999999,11,0.03795100000000001250,0.00202799999999999855,
9,24.78601751026369726105,24.91881951204082668028,24.97376661581843393378,11,0.00024499999999999999,0.00061700000000000036,10,0.03381599999999998496,0.00068099999999999758,
10,24.88257501448105557529,24.94021986902729537405,24.98962865309344394404,10,0.00025699999999999985,0.00109400000000000035,12,0.04954599999999997895,0.00139799999999999994,
11,24.98434929006086946401,25.09439962944217583640,25.09443946672509540008,12,0.00041700000000000027,0.00105600000000000051,13,0.05104900000000001103,0.00128699999999999648,
12,25.05763989500955446488,25.14748475611061095947,25.15131383663815967111,16,0.00059399999999999991,0.00102000000000000007,16,0.08351300000000000390,0.00240800000000000042,
13,25.12089825480921234657,25.22291800345842816000,25.22302785396016489017,12,0.00058599999999999972,0.00161799999999999965,15,0.09503399999999995185,0.00304399999999999810,
14,25.18035517794229605215,25.30032808188328630195,25.30032808188325077481,17,0.00065899999999999986,0.00143999999999999857,16,0.15299499999999999211,0.00169999999999999318,
15,25.23298438810823540734,25.32259260067785078263,25.32259260067785078263,13,0.00043699999999999989,0.00091899999999999968,17,0.11469000000000006967,0.00190600000000000491,
16,25.27534376558627826626,25.44251796971099466305,25.44251796971099821576,14,0.00042100000000000037,0.00088799999999999990,15,0.12931700000000001527,0.00251600000000000434,
17,25.38644283527752065766,25.47279890174502270384,25.47972567492887918661,16,0.00075099999999999993,0.00216099999999999973,14,0.11152600000000001401,0.00182299999999999129,
18,25.45522022659186589522,25.48585434113264014400,25.52727750070124912440,14,0.00042899999999999969,0.00155600000000000009,14,0.13900699999999988066,0.00187400000000000067,
19,25.49167555645788851848,25.51715662132764705916,25.54656193844250822167,14,0.00063200000000000062,0.00157999999999999807,15,0.13445100000000009821,0.00414499999999998203,
20,25.54838531860792372186,25.56558252285856625008,25.57514560180526430599,16,0.00054199999999999908,0.00254799999999999818,17,0.19348900000000002208,0.00239899999999998448,
21,25.57742421048589420707,25.61679710274478338761,25.62885973978076137314,17,0.00109400000000000122,0.00464900000000000035,18,0.18912499999999998757,0.00259300000000001196,
22,25.61703159471257151836,25.63727236003322573765,25.64740785523468247220,16,0.00087499999999999904,0.00194899999999999934,17,0.19375599999999981726,0.00346399999999999486,
23,25.63610063852749121338,25.65053866308974050980,25.66528622557943961624,15,0.00051900000000000036,0.00146299999999999902,17,0.20117500000000010374,0.00394800000000000706,
24,25.66487908357907343770,25.71616514865731417672,25.71616514865730707129,16,0.00066100000000000013,0.00244199999999999626,17,0.21133800000000002584,0.00424299999999999677,
