bm23,bound_gmic,bound_vpc,bound_all_cuts,num_gmic,gmic_gen_time,gmic_apply_time,num_vpc,vpc_gen_time,vpc_apply_time,
544,24.68336377018803418082,20.57092176323557097817,24.68336377018803418082,9,0.00212899999999993650,0.05374500000000104194,0,0.00000000000000000000,0.00000000000000000000,
545,24.68336398007220466866,20.57092176323557097817,24.68336398007220466866,10,0.00270600000000009722,0.02589599999999947499,0,0.00000000000000000000,0.00000000000000000000,
546,24.68336465247340427709,20.57092176323557097817,24.68336465247340427709,9,0.00212199999999995725,0.02244800000000068962,0,0.00000000000000000000,0.00000000000000000000,
547,24.68336420982788226297,20.57092176323557097817,24.68336420982788226297,9,0.00243599999999999373,0.04555099999999967508,0,0.00000000000000000000,0.00000000000000000000,
548,24.68336429925861352785,20.57092176323557097817,24.68336429925861352785,9,0.00238099999999996648,0.06559600000000109787,0,0.00000000000000000000,0.00000000000000000000,
549,24.68336381475130281160,20.57092176323557097817,24.68336381475130281160,10,0.00238000000000004874,0.05678900000000020043,0,0.00000000000000000000,0.00000000000000000000,
550,24.68336409033875256114,20.57092176323557097817,24.68336409033875256114,10,0.00263999999999997570,0.02846199999999932118,0,0.00000000000000000000,0.00000000000000000000,
551,24.68336452323283225496,20.57092176323557097817,24.68336452323283225496,7,0.00179300000000004456,0.03753900000000065518,0,0.00000000000000000000,0.00000000000000000000,
552,24.68336427870898219794,20.57092176323557097817,24.68336427870898219794,9,0.00242699999999995697,0.06465000000000031832,0,0.00000000000000000000,0.00000000000000000000,
553,24.68336453036483746359,20.57092176323557097817,24.68336453036483746359,9,0.00245200000000000973,0.29908700000000010277,0,0.00000000000000000000,0.00000000000000000000,
554,24.68336433332783030892,20.57092176323557097817,24.68336433332783030892,9,0.00228899999999998549,0.04670800000000063790,0,0.00000000000000000000,0.00000000000000000000,
555,24.68336443517592471153,20.57092176323557097817,24.68336443517592471153,8,0.00209400000000004027,0.03486600000000095179,0,0.00000000000000000000,0.00000000000000000000,
556,24.68336497498637172043,20.57092176323557097817,24.68336497498637172043,9,0.00244199999999994422,0.02676499999999926160,0,0.00000000000000000000,0.00000000000000000000,
557,24.68336497160974829512,20.57092176323557097817,24.68336497160974829512,8,0.00197599999999997777,0.11602500000000048885,0,0.00000000000000000000,0.00000000000000000000,
558,24.68336559148848152745,20.57092176323557097817,24.68336559148848152745,9,0.00234600000000007025,0.02294000000000018247,0,0.00000000000000000000,0.00000000000000000000,
559,24.68336558294623017673,20.57092176323557097817,24.68336558294623017673,9,0.00238399999999994172,0.04826399999999964052,0,0.00000000000000000000,0.00000000000000000000,
560,24.68336575557748702181,20.57092176323557097817,24.68336575557748702181,9,0.00245200000000000973,0.02534499999999972886,0,0.00000000000000000000,0.00000000000000000000,
561,24.68336617966483714781,20.57092176323557097817,24.68336617966483714781,9,0.00323000000000006615,0.03601800000000032753,0,0.00000000000000000000,0.00000000000000000000,
562,24.68336551695724878641,20.57092176323557097817,24.68336551695724878641,9,0.00231999999999998874,0.05753200000000013858,0,0.00000000000000000000,0.00000000000000000000,
563,24.68336600146963633051,20.57092176323557097817,24.68336600146963633051,8,0.00251499999999993396,0.02914199999999844692,0,0.00000000000000000000,0.00000000000000000000,
564,24.68336602048609762505,20.57092176323557097817,24.68336602048609762505,9,0.00256100000000003547,0.03451300000000045998,0,0.00000000000000000000,0.00000000000000000000,
565,24.68336655435235726941,20.57092176323557097817,24.68336655435235726941,10,0.00265999999999999570,0.02502800000000071634,0,0.00000000000000000000,0.00000000000000000000,
566,24.68336647113460102787,20.57092176323557097817,24.68336647113460102787,9,0.00250400000000006173,0.05981599999999964723,0,0.00000000000000000000,0.00000000000000000000,
567,24.68336655586804084805,20.57092176323557097817,24.68336655586804084805,9,0.00250399999999995071,0.03560700000000061038,0,0.00000000000000000000,0.00000000000000000000,
568,24.68336686031009463704,20.57092176323557097817,24.68336686031009463704,10,0.00266900000000003246,0.29047400000000145326,0,0.00000000000000000000,0.00000000000000000000,
569,24.68336681472656835012,20.57092176323557097817,24.68336681472656835012,9,0.00264999999999993019,0.04458299999999937313,0,0.00000000000000000000,0.00000000000000000000,
570,24.68336699895230168522,20.57092176323557097817,24.68336699895230168522,7,0.00208400000000008578,0.02475499999999897227,0,0.00000000000000000000,0.00000000000000000000,
571,24.68336700004205397363,20.57092176323557097817,24.68336700004205397363,8,0.00201599999999990676,0.03106600000000092621,0,0.00000000000000000000,0.00000000000000000000,
572,24.68336654496900450795,20.57092176323557097817,24.68336654496900450795,9,0.00259300000000006747,0.04081299999999998818,0,0.00000000000000000000,0.00000000000000000000,
573,24.68336706355315968153,20.57092176323557097817,24.68336706355315968153,9,0.00246800000000002573,0.03233499999999978058,0,0.00000000000000000000,0.00000000000000000000,
574,24.68336735037116724811,20.57092176323557097817,24.68336735037116724811,9,0.00258399999999991969,0.07494300000000109208,0,0.00000000000000000000,0.00000000000000000000,
575,24.68336743747800099413,20.57092176323557097817,24.68336743747800099413,8,0.00227600000000005576,0.02883300000000055263,0,0.00000000000000000000,0.00000000000000000000,
576,24.68336787229492657048,20.57092176323557097817,24.68336787229492657048,9,0.00237199999999992972,0.03522399999999947795,0,0.00000000000000000000,0.00000000000000000000,
577,24.68336800880572567962,20.57092176323557097817,24.68336800880572567962,8,0.00215300000000007152,0.04068600000000088812,0,0.00000000000000000000,0.00000000000000000000,
578,24.68336850465944465327,20.57092176323557097817,24.68336850465944465327,10,0.00258899999999995245,0.03040600000000104330,0,0.00000000000000000000,0.00000000000000000000,
579,24.68336749971058452502,20.57092176323557097817,24.68336749971058452502,9,0.00252399999999997071,0.06048900000000045907,0,0.00000000000000000000,0.00000000000000000000,
580,24.68336775261384019586,20.57092176323557097817,24.68336775261384019586,10,0.00312700000000010192,0.02704400000000006798,0,0.00000000000000000000,0.00000000000000000000,
581,24.68336772316592231391,20.57092176323557097817,24.68336772316592231391,9,0.00314699999999989988,0.07383899999999954389,0,0.00000000000000000000,0.00000000000000000000,
582,24.68336782455978806183,20.57092176323557097817,24.68336782455978806183,10,0.00295800000000001617,0.03667299999999862337,0,0.00000000000000000000,0.00000000000000000000,
583,24.68336791172555066964,20.57092176323557097817,24.68336791172555066964,8,0.00245000000000006324,0.03633100000000055729,0,0.00000000000000000000,0.00000000000000000000,
