,,BOUND INFO,,BB INFO,,,,,,,,ORIG PROB INFO,,,,,,,,,,,,,CLEANED PROB INFO,,,,,,,,,,,,,,,FULL BB INFO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VERSION INFO,,,,WRAP UP INFO,,,,END
misc05,536,2930.90000000000009094947,2930.89999999999963620212,45,54,45,54,0.228,0.260,0.228,0.260,300,136,11,0.16000,0.36000,29,0,0,0,0,74,62,0.072181,245,120,11,0.16000,0.48000,23,0,0,0,0,70,50,0.087415,0,0,2984.49999999998181010596,2984.50000000000000000000,2984.49999999998181010596,2984.50000000000000000000,2984.49999999998181010596,2984.50000000000000000000,2984.49999999998181010596,2984.50000000000000000000,2984.49999999998181010596,2984.50000000000000000000,2984.49999999998181010596,2984.50000000000000000000,907,1160,907,1160,907,1160,45,54,45,54,45,54,14,29,14,29,14,29,2936.25000000000000000000,2959.02823920265745982761,2936.25000000000000000000,2959.02823920265745982761,2936.25000000000000000000,2959.02823920265745982761,2957.04545454545495886123,2982.50000000000000000000,2957.04545454545495886123,2982.50000000000000000000,2957.04545454545495886123,2982.50000000000000000000,436,715,436,715,436,715,0.196,0.214,0.196,0.214,0.196,0.214,0.106,0.025,0.106,0.025,0.106,0.025,0.228,0.260,0.228,0.260,0.228,0.260,2984.49999999998181010596,2984.49999999998181010596,907,45,14,2936.250000,2957.045455,436,0.196282,0.105536,0.228464,2984.50000000000000000000,2984.50000000000000000000,1160,54,29,2959.028239,2982.500000,715,0.213925,0.025371,0.260047,#444d871,#600f7d1,#5de0d70,10.01,,SUCCESS,Wed Jun 14 19:09:22 2023,1,misc05,DONE
misc06,536,12841.68939228209455905017,12841.68939227186274365522,9,1,9,1,0.277,0.113,0.277,0.113,820,1808,17,0.00921,0.43656,250,56,1,0,0,112,1696,0.003952,538,1288,12,0.00921,0.43656,131,0,0,0,0,112,1176,0.003980,0,0,12851.07629156414077442605,12850.86073738253617193550,12851.07629156414077442605,12850.86073738253617193550,12851.07629156414077442605,12850.86073738253617193550,12850.72970225831704738084,12850.17158374487735272851,12850.72970225831704738084,12850.17158374487735272851,12850.72970225831704738084,12850.17158374487735272851,1511,830,1511,830,1511,830,9,1,9,1,9,1,19,10,19,10,19,10,12842.15932614031953562517,12842.02507268215958902147,12842.15932614031953562517,12842.02507268215958902147,12842.15932614031953562517,12842.02507268215958902147,12849.01380111326579935849,12850.04179739489336498082,12849.01380111326579935849,12850.04179739489336498082,12849.01380111326579935849,12850.04179739489336498082,1485,830,1485,830,1485,830,0.261,0.107,0.261,0.107,0.261,0.107,0.268,0.112,0.268,0.112,0.268,0.112,0.277,0.113,0.277,0.113,0.277,0.113,12851.07629156414077442605,12850.72970225831704738084,1511,9,19,12842.159326,12849.013801,1485,0.260715,0.268290,0.276702,12850.86073738253617193550,12850.17158374487735272851,830,1,10,12842.025073,12850.041797,830,0.106940,0.111980,0.112725,#444d871,#600f7d1,#5de0d70,10.01,,SUCCESS,Wed Jun 14 19:09:22 2023,0,misc06,DONE
misc07,536,1415.00000000000022737368,1415.00000000000000000000,14159,28941,14159,28941,15.611,66.087,15.611,66.087,212,260,26,0.07143,0.50000,35,0,0,0,0,259,1,0.156368,211,232,16,0.50000,0.50000,34,0,0,0,0,232,0,0.168737,0,0,2810.00000000000000000000,2810.00000000000000000000,2810.00000000000000000000,2810.00000000000000000000,2810.00000000000000000000,2810.00000000000000000000,2810.00000000000000000000,2810.00000000000000000000,2810.00000000000000000000,2810.00000000000000000000,2810.00000000000000000000,2810.00000000000000000000,168239,465408,168239,465408,168239,465408,14159,28941,14159,28941,14159,28941,26,21,26,21,26,21,1425.00000000000022737368,1424.99999999999954525265,1425.00000000000022737368,1424.99999999999954525265,1425.00000000000022737368,1424.99999999999954525265,1525.55555555555588398420,1517.99999999999977262632,1525.55555555555588398420,1517.99999999999977262632,1525.55555555555588398420,1517.99999999999977262632,1058,710,1058,710,1058,710,0.514,0.306,0.514,0.306,0.514,0.306,0.971,3.320,0.971,3.320,0.971,3.320,15.611,66.087,15.611,66.087,15.611,66.087,2810.00000000000000000000,2810.00000000000000000000,168239,14159,26,1425.000000,1525.555556,1058,0.513715,0.970529,15.610592,2810.00000000000000000000,2810.00000000000000000000,465408,28941,21,1425.000000,1518.000000,710,0.305862,3.319699,66.087416,#444d871,#600f7d1,#5de0d70,10.01,,SUCCESS,Wed Jun 14 19:10:44 2023,82,misc07,DONE
mitre,536,114740.51848146179690957069,115155.00000000000000000000,1,1,1,1,1.779,0.055,1.779,0.055,2054,10724,777,0.00227,0.50000,383,0,0,0,0,10724,0,0.001803,1132,4903,16,0.08333,0.25000,348,0,0,0,0,4903,0,0.002735,0,0,115155.00000000000000000000,115155.00000000000000000000,115155.00000000000000000000,115155.00000000000000000000,115155.00000000000000000000,115155.00000000000000000000,115155.00000000000000000000,115155.00000000000000000000,115155.00000000000000000000,115155.00000000000000000000,115155.00000000000000000000,115155.00000000000000000000,9997,2917,9997,2917,9997,2917,1,1,1,1,1,1,10,0,10,0,10,0,115113.23909721989184617996,115155.00000000000000000000,115113.23909721989184617996,115155.00000000000000000000,115113.23909721989184617996,115155.00000000000000000000,115155.00000000000000000000,115155.00000000000000000000,115155.00000000000000000000,115155.00000000000000000000,115155.00000000000000000000,115155.00000000000000000000,9997,2917,9997,2917,9997,2917,1.772,0.000,1.772,0.000,1.772,0.000,1.778,0.050,1.778,0.050,1.778,0.050,1.779,0.055,1.779,0.055,1.779,0.055,115155.00000000000000000000,115155.00000000000000000000,9997,1,10,115113.239097,115155.000000,9997,1.771970,1.777885,1.778861,115155.00000000000000000000,115155.00000000000000000000,2917,1,0,115155.000000,115155.000000,2917,0.000000,0.050321,0.055243,#444d871,#600f7d1,#5de0d70,10.01,,SUCCESS,Wed Jun 14 19:10:47 2023,3,mitre,DONE
mkc,536,-611.85000000000047748472,-600.69906174949835531152,645409,2802869,645409,2802869,7200.002,7200.001,7200.002,7200.001,3411,5325,103,0.01857,0.49801,2,132,0,0,0,5323,2,0.000938,961,2933,119,0.02884,0.49909,186,0,0,0,10,2923,0,0.003936,0,0,-563.84600749994126545062,-563.84630350301370071975,-563.84600749994126545062,-563.84630350301370071975,-563.84600749994126545062,-563.84630350301370071975,-564.40522339129211104591,-564.20599999999569718057,-564.40522339129211104591,-564.20599999999569718057,-564.40522339129211104591,-564.20599999999569718057,38129641,36916998,38129641,36916998,38129641,36916998,645409,2802869,645409,2802869,645409,2802869,20,30,20,30,20,30,-592.31749655010605692951,-599.05337315557153488044,-592.31749655010605692951,-599.05337315557153488044,-592.31749655010605692951,-599.05337315557153488044,-579.95669938138610177703,-582.71462626526658823423,-579.95669938138610177703,-582.71462626526658823423,-579.95669938138610177703,-582.71462626526658823423,10427,9246,10427,9246,10427,9246,1.988,1.496,1.988,1.496,1.988,1.496,2096.079,5196.823,2096.079,5196.823,2096.079,5196.823,7200.002,7200.001,7200.002,7200.001,7200.002,7200.001,-563.84600749994126545062,-564.40522339129211104591,38129641,645409,20,-592.317497,-579.956699,10427,1.988323,2096.078986,7200.001563,-563.84630350301370071975,-564.20599999999569718057,36916998,2802869,30,-599.053373,-582.714626,9246,1.496038,5196.823201,7200.000563,#444d871,#600f7d1,#5de0d70,10.01,,SUCCESS,Wed Jun 14 23:10:54 2023,14407,mkc,DONE
mkc1,536,-611.85000000000047748472,-611.85000000000013642421,10908,13772,10908,13772,31.778,23.750,31.778,23.750,3411,5325,49,0.01857,0.49801,2,132,0,0,0,3087,2238,0.000938,2738,4751,67,0.01396,0.49147,53,0,0,0,3,2512,2236,0.001188,0,0,-607.15000000000009094947,-607.16700000000014370016,-607.15000000000009094947,-607.16700000000014370016,-607.15000000000009094947,-607.16700000000014370016,-607.20999999999935425876,-607.20999999999958163244,-607.20999999999935425876,-607.20999999999958163244,-607.20999999999935425876,-607.20999999999958163244,168307,76359,168307,76359,168307,76359,10908,13772,10908,13772,10908,13772,14,12,14,12,14,12,-611.84999999999990905053,-611.84999999999990905053,-611.84999999999990905053,-611.84999999999990905053,-611.84999999999990905053,-611.84999999999990905053,-611.84999999999968167685,-611.84999999999990905053,-611.84999999999968167685,-611.84999999999990905053,-611.84999999999968167685,-611.84999999999990905053,9324,4011,9324,4011,9324,4011,1.278,0.961,1.278,0.961,1.278,0.961,31.775,23.746,31.775,23.746,31.775,23.746,31.778,23.750,31.778,23.750,31.778,23.750,-607.15000000000009094947,-607.20999999999935425876,168307,10908,14,-611.850000,-611.850000,9324,1.278266,31.775313,31.777520,-607.16700000000014370016,-607.20999999999958163244,76359,13772,12,-611.850000,-611.850000,4011,0.960897,23.745804,23.749747,#444d871,#600f7d1,#5de0d70,10.01,,SUCCESS,Wed Jun 14 19:17:14 2023,57,mkc1,DONE
mod008,536,290.93107271496882049178,291.08943871240632006447,1,4,1,4,0.075,0.079,0.075,0.079,6,319,5,0.01064,0.45915,0,0,0,0,0,319,0,0.649425,6,319,6,0.02193,0.44238,0,0,0,0,0,319,0,0.649425,6,0,307.00000000000000000000,307.00000000000000000000,307.00000000000000000000,307.00000000000000000000,307.00000000000000000000,307.00000000000000000000,307.00000000000000000000,307.00000000000000000000,307.00000000000000000000,307.00000000000000000000,307.00000000000000000000,307.00000000000000000000,260,267,260,267,260,267,1,4,1,4,1,4,31,38,31,38,31,38,292.20504855071555994073,292.33110211971029457345,292.20504855071555994073,292.33110211971029457345,292.20504855071555994073,292.33110211971029457345,305.82981185895397402419,305.27506654835588051355,305.82981185895397402419,305.27506654835588051355,305.82981185895397402419,305.27506654835588051355,260,240,260,240,260,240,0.075,0.078,0.075,0.078,0.075,0.078,0.003,0.001,0.003,0.001,0.003,0.001,0.075,0.079,0.075,0.079,0.075,0.079,307.00000000000000000000,307.00000000000000000000,260,1,31,292.205049,305.829812,260,0.074861,0.002853,0.075143,307.00000000000000000000,307.00000000000000000000,267,4,38,292.331102,305.275067,240,0.077888,0.001406,0.078698,#444d871,#600f7d1,#5de0d70,10.01,,SUCCESS,Wed Jun 14 19:17:14 2023,0,mod008,DONE
mod010,536,6532.08333333333212067373,6532.08333333333212067373,42,25,42,25,0.328,0.241,0.328,0.241,146,2655,37,0.08333,0.50000,145,0,0,0,0,2655,0,0.028901,141,2495,41,0.08333,0.50000,138,0,0,0,0,2495,0,0.024071,0,0,6547.99999999999909050530,6548.00000000000000000000,6547.99999999999909050530,6548.00000000000000000000,6547.99999999999909050530,6548.00000000000000000000,6547.99999999999909050530,6548.00000000000000000000,6547.99999999999909050530,6548.00000000000000000000,6547.99999999999909050530,6548.00000000000000000000,1409,1167,1409,1167,1409,1167,42,25,42,25,42,25,6,6,6,6,6,6,6535.00000000000000000000,6535.00000000000000000000,6535.00000000000000000000,6535.00000000000000000000,6535.00000000000000000000,6535.00000000000000000000,6535.00000000000000000000,6535.00000000000000000000,6535.00000000000000000000,6535.00000000000000000000,6535.00000000000000000000,6535.00000000000000000000,1167,995,1167,995,1167,995,0.214,0.172,0.214,0.172,0.214,0.172,0.297,0.237,0.297,0.237,0.297,0.237,0.328,0.241,0.328,0.241,0.328,0.241,6547.99999999999909050530,6547.99999999999909050530,1409,42,6,6535.000000,6535.000000,1167,0.213761,0.296764,0.327860,6548.00000000000000000000,6548.00000000000000000000,1167,25,6,6535.000000,6535.000000,995,0.171731,0.237166,0.240678,#444d871,#600f7d1,#5de0d70,10.01,,SUCCESS,Wed Jun 14 19:17:15 2023,1,mod010,DONE
mod011,536,-62121982.55190486460924148560,-61647584.87376211583614349365,34,131,34,131,29.320,24.336,29.320,24.336,4480,10958,16,0.14849,0.47533,4367,0,0,1,0,96,10862,0.000453,1441,6135,16,0.14733,0.49440,405,0,0,0,0,96,6039,0.001555,0,0,-54558535.01422898471355438232,-54558535.01423120498657226562,-54558535.01422898471355438232,-54558535.01423120498657226562,-54558535.01422898471355438232,-54558535.01423120498657226562,-54560577.44123259931802749634,-54563169.51748900115489959717,-54560577.44123259931802749634,-54563169.51748900115489959717,-54560577.44123259931802749634,-54563169.51748900115489959717,25769,53461,25769,53461,25769,53461,34,131,34,131,34,131,35,96,35,96,35,96,-59351696.14188019931316375732,-59960323.89019651710987091064,-59351696.14188019931316375732,-59960323.89019651710987091064,-59351696.14188019931316375732,-59960323.89019651710987091064,-54613148.13415009528398513794,-54838879.78237511217594146729,-54613148.13415009528398513794,-54838879.78237511217594146729,-54613148.13415009528398513794,-54838879.78237511217594146729,22597,17907,22597,17907,22597,17907,25.137,9.914,25.137,9.914,25.137,9.914,28.997,20.732,28.997,20.732,28.997,20.732,29.320,24.336,29.320,24.336,29.320,24.336,-54558535.01422898471355438232,-54560577.44123259931802749634,25769,34,35,-59351696.141880,-54613148.134150,22597,25.136536,28.996599,29.320155,-54558535.01423120498657226562,-54563169.51748900115489959717,53461,131,96,-59960323.890197,-54838879.782375,17907,9.913826,20.732242,24.336363,#444d871,#600f7d1,#5de0d70,10.01,,SUCCESS,Wed Jun 14 19:18:09 2023,54,mod011,DONE
mod013,536,256.01666666666670835184,256.01666666666670835184,72,72,72,72,0.104,0.097,0.104,0.097,62,96,5,0.16667,0.50000,14,0,0,0,0,48,48,0.032258,62,96,5,0.16667,0.50000,14,0,0,0,0,48,48,0.032258,48,0,280.95000000000010231815,280.95000000000010231815,280.95000000000010231815,280.95000000000010231815,280.95000000000010231815,280.95000000000010231815,280.95000000000010231815,280.95000000000010231815,280.95000000000010231815,280.95000000000010231815,280.95000000000010231815,280.95000000000010231815,758,758,758,758,758,758,72,72,72,72,72,72,23,23,23,23,23,23,263.85476190476191504786,263.85476190476191504786,263.85476190476191504786,263.85476190476191504786,263.85476190476191504786,263.85476190476191504786,275.54538461538459159783,275.54538461538459159783,275.54538461538459159783,275.54538461538459159783,275.54538461538459159783,275.54538461538459159783,180,180,180,180,180,180,0.067,0.061,0.067,0.061,0.067,0.061,0.103,0.096,0.103,0.096,0.103,0.096,0.104,0.097,0.104,0.097,0.104,0.097,280.95000000000010231815,280.95000000000010231815,758,72,23,263.854762,275.545385,180,0.066555,0.103067,0.104266,280.95000000000010231815,280.95000000000010231815,758,72,23,263.854762,275.545385,180,0.061276,0.096146,0.097327,#444d871,#600f7d1,#5de0d70,10.01,,SUCCESS,Wed Jun 14 19:18:09 2023,0,mod013,DONE
modglob,536,20430947.61885364726185798645,20430947.61885362118482589722,49,46,49,46,0.200,0.211,0.200,0.211,291,422,30,0.00011,0.48843,95,0,2,0,0,98,324,0.007883,286,354,30,0.00011,0.48843,60,0,0,0,0,98,256,0.008810,0,0,20740508.08630824089050292969,20740508.08630821108818054199,20740508.08630824089050292969,20740508.08630821108818054199,20740508.08630824089050292969,20740508.08630821108818054199,20739001.08930392935872077942,20739053.14406588673591613770,20739001.08930392935872077942,20739053.14406588673591613770,20739001.08930392935872077942,20739053.14406588673591613770,909,852,909,852,909,852,49,46,49,46,49,46,25,27,25,27,25,27,20633579.81455270573496818542,20633575.98153115808963775635,20633579.81455270573496818542,20633575.98153115808963775635,20633579.81455270573496818542,20633575.98153115808963775635,20723728.55627395957708358765,20730332.30125621706247329712,20723728.55627395957708358765,20730332.30125621706247329712,20723728.55627395957708358765,20730332.30125621706247329712,637,619,637,619,637,619,0.166,0.180,0.166,0.180,0.166,0.180,0.199,0.203,0.199,0.203,0.199,0.203,0.200,0.211,0.200,0.211,0.200,0.211,20740508.08630824089050292969,20739001.08930392935872077942,909,49,25,20633579.814553,20723728.556274,637,0.165767,0.198753,0.199677,20740508.08630821108818054199,20739053.14406588673591613770,852,46,27,20633575.981531,20730332.301256,619,0.180401,0.203052,0.211010,#444d871,#600f7d1,#5de0d70,10.01,,SUCCESS,Wed Jun 14 19:18:10 2023,1,modglob,DONE
mtest4ma,536,33968.06567314976564375684,39794.74513766105519607663,1,1,1,1,0.666,0.534,0.666,0.534,1174,1950,88,0.00076,0.42258,100,0,0,0,0,975,975,0.002129,1097,1873,125,0.00126,0.42258,100,0,0,0,0,898,975,0.002298,0,0,52147.99999999799911165610,52147.99999999406281858683,52147.99999999799911165610,52147.99999999406281858683,52147.99999999799911165610,52147.99999999406281858683,52147.99999999799911165610,52147.99999999406281858683,52147.99999999799911165610,52147.99999999406281858683,52147.99999999799911165610,52147.99999999406281858683,1166,1008,1166,1008,1166,1008,1,1,1,1,1,1,16,12,16,12,16,12,41550.57081779094005469233,45193.37559539978974498808,41550.57081779094005469233,45193.37559539978974498808,41550.57081779094005469233,45193.37559539978974498808,52073.70065983538370346650,52121.28295124998112441972,52073.70065983538370346650,52121.28295124998112441972,52073.70065983538370346650,52121.28295124998112441972,1166,1008,1166,1008,1166,1008,0.658,0.525,0.658,0.525,0.658,0.525,0.654,0.503,0.654,0.503,0.654,0.503,0.666,0.534,0.666,0.534,0.666,0.534,52147.99999999799911165610,52147.99999999799911165610,1166,1,16,41550.570818,52073.700660,1166,0.657571,0.654407,0.665630,52147.99999999406281858683,52147.99999999406281858683,1008,1,12,45193.375595,52121.282951,1008,0.525394,0.503113,0.533586,#444d871,#600f7d1,#5de0d70,10.01,,SUCCESS,Wed Jun 14 19:18:11 2023,1,mtest4ma,DONE
mushroom-best,536,0.00001268292682926829,0.01268292682926828140,22108,8191,22108,8191,3826.716,370.833,3826.716,370.833,8580,8468,22,0.00010,0.00300,4,0,0,0,118,8237,113,0.002598,7449,7422,9,0.10000,0.30000,0,0,0,0,111,7242,69,0.002869,0,0,0.05533376123234914207,0.05533376123234914901,0.05533376123234914207,0.05533376123234914901,0.05533376123234914207,0.05533376123234914901,0.05532826121543265446,0.05533376123234914901,0.05532826121543265446,0.05533376123234914901,0.05532826121543265446,0.05533376123234914901,3036661,259931,3036661,259931,3036661,259931,22108,8191,22108,8191,22108,8191,9,8,9,8,9,8,0.00791505326384763820,0.01398714622366802052,0.00791505326384763820,0.01398714622366802052,0.00791505326384763820,0.01398714622366802052,0.00791885043078548179,0.01500384501365442484,0.00791885043078548179,0.01500384501365442484,0.00791885043078548179,0.01500384501365442484,1061,1062,1061,1062,1061,1062,9.228,5.590,9.228,5.590,9.228,5.590,0.942,0.546,0.942,0.546,0.942,0.546,3826.716,370.833,3826.716,370.833,3826.716,370.833,0.05533376123234914207,0.05532826121543265446,3036661,22108,9,0.007915,0.007919,1061,9.227960,0.942141,3826.716205,0.05533376123234914901,0.05533376123234914901,259931,8191,8,0.013987,0.015004,1062,5.590467,0.546202,370.833277,#444d871,#600f7d1,#5de0d70,10.01,,SUCCESS,Wed Jun 14 20:28:14 2023,4203,mushroom-best,DONE
mzzv11,536,-22945.23963133640427258797,-22804.57575757575978059322,1,12,1,12,10.734,11.184,10.734,11.184,9499,10240,1008,0.00018,0.50000,3372,0,0,0,251,9989,0,0.001384,8792,8849,959,0.00851,0.50000,2865,0,0,0,226,8623,0,0.001544,0,0,-21718.00000000000000000000,-21718.00000000000000000000,-21718.00000000000000000000,-21718.00000000000000000000,-21718.00000000000000000000,-21718.00000000000000000000,-21720.00000000000000000000,-21718.00000000000000000000,-21720.00000000000000000000,-21718.00000000000000000000,-21720.00000000000000000000,-21718.00000000000000000000,19889,19723,19889,19723,19889,19723,1,12,1,12,1,12,29,26,29,26,29,26,-22204.65477904127328656614,-21954.24682789594953646883,-22204.65477904127328656614,-21954.24682789594953646883,-22204.65477904127328656614,-21954.24682789594953646883,-21722.30769230770238209516,-21733.53021664766129106283,-21722.30769230770238209516,-21733.53021664766129106283,-21722.30769230770238209516,-21733.53021664766129106283,19889,18865,19889,18865,19889,18865,10.629,10.347,10.629,10.347,10.629,10.347,8.437,9.896,8.437,9.896,8.437,9.896,10.734,11.184,10.734,11.184,10.734,11.184,-21718.00000000000000000000,-21720.00000000000000000000,19889,1,29,-22204.654779,-21722.307692,19889,10.629032,8.436634,10.733904,-21718.00000000000000000000,-21718.00000000000000000000,19723,12,26,-21954.246828,-21733.530217,18865,10.347165,9.895809,11.184393,#444d871,#600f7d1,#5de0d70,10.01,,SUCCESS,Wed Jun 14 19:25:11 2023,317,mzzv11,DONE
mzzv42z,536,-21622.99848124285563244484,-21431.69875917885656235740,1,1,1,1,4.322,4.165,4.322,4.165,10460,11717,963,0.00093,0.50000,4502,0,0,0,235,11482,0,0.001234,10134,11247,833,0.00634,0.50000,4346,0,0,0,235,11012,0,0.001277,0,0,-20540.00000000000000000000,-20540.00000000000000000000,-20540.00000000000000000000,-20540.00000000000000000000,-20540.00000000000000000000,-20540.00000000000000000000,-20540.00000000000000000000,-20540.00000000000000000000,-20540.00000000000000000000,-20540.00000000000000000000,-20540.00000000000000000000,-20540.00000000000000000000,13862,12604,13862,12604,13862,12604,1,1,1,1,1,1,4,5,4,5,4,5,-20813.48489872196296346374,-20841.02737811694896663539,-20813.48489872196296346374,-20841.02737811694896663539,-20813.48489872196296346374,-20841.02737811694896663539,-20725.75721153846097877249,-20592.94117647059101727791,-20725.75721153846097877249,-20592.94117647059101727791,-20725.75721153846097877249,-20592.94117647059101727791,13862,12604,13862,12604,13862,12604,4.025,4.052,4.025,4.052,4.025,4.052,4.315,4.157,4.315,4.157,4.315,4.157,4.322,4.165,4.322,4.165,4.322,4.165,-20540.00000000000000000000,-20540.00000000000000000000,13862,1,4,-20813.484899,-20725.757212,13862,4.024633,4.314701,4.322054,-20540.00000000000000000000,-20540.00000000000000000000,12604,1,5,-20841.027378,-20592.941176,12604,4.051575,4.157002,4.165071,#444d871,#600f7d1,#5de0d70,10.01,,SUCCESS,Wed Jun 14 19:26:07 2023,144,mzzv42z,DONE
n13-3,536,4287.64705882353155175224,10552.35294117647026723716,1028,120,1028,120,15.480,0.382,15.480,0.382,1723,3472,48,0.01961,0.41176,1599,0,0,0,186,0,3286,0.002259,224,506,16,0.01961,0.37255,202,0,0,0,66,0,440,0.012422,0,0,13384.99999998862585925963,13385.00000000002728484105,13384.99999998862585925963,13385.00000000002728484105,13384.99999998862585925963,13385.00000000002728484105,13384.99999998862585925963,13384.29369067566221929155,13384.99999998862585925963,13384.29369067566221929155,13384.99999998862585925963,13384.29369067566221929155,49341,3077,49341,3077,49341,3077,1028,120,1028,120,1028,120,22,27,22,27,22,27,9553.95892699757496302482,12417.76609729016126948409,9553.95892699757496302482,12417.76609729016126948409,9553.95892699757496302482,12417.76609729016126948409,12480.89449724610676639713,13161.72173774223483633250,12480.89449724610676639713,13161.72173774223483633250,12480.89449724610676639713,13161.72173774223483633250,2696,855,2696,855,2696,855,1.276,0.220,1.276,0.220,1.276,0.220,11.089,0.372,11.089,0.372,11.089,0.372,15.480,0.382,15.480,0.382,15.480,0.382,13384.99999998862585925963,13384.99999998862585925963,49341,1028,22,9553.958927,12480.894497,2696,1.275536,11.088765,15.480112,13385.00000000002728484105,13384.29369067566221929155,3077,120,27,12417.766097,13161.721738,855,0.220291,0.371732,0.382050,#444d871,#600f7d1,#5de0d70,10.01,,SUCCESS,Wed Jun 14 19:25:27 2023,16,n13-3,DONE
n2seq36f,536,52000.00000000000000000000,52000.00000000000000000000,1,293,1,293,0.377,1.432,0.377,1.432,285,8100,27,0.03571,0.50000,0,0,0,0,0,8100,0,0.026402,251,3231,24,0.07143,0.50000,0,0,0,0,0,3231,0,0.015592,0,0,52200.00000000000000000000,52200.00000000000000000000,52200.00000000000000000000,52200.00000000000000000000,52200.00000000000000000000,52200.00000000000000000000,52200.00000000000000000000,52200.00000000000000000000,52200.00000000000000000000,52200.00000000000000000000,52200.00000000000000000000,52200.00000000000000000000,1404,6018,1404,6018,1404,6018,1,293,1,293,1,293,5,7,5,7,5,7,52000.00000000002910383046,52000.00000000000000000000,52000.00000000002910383046,52000.00000000000000000000,52000.00000000002910383046,52000.00000000000000000000,52000.00000000000000000000,52000.00000000000000000000,52000.00000000000000000000,52000.00000000000000000000,52000.00000000000000000000,52000.00000000000000000000,1404,744,1404,744,1404,744,0.370,0.147,0.370,0.147,0.370,0.147,0.243,0.033,0.243,0.033,0.243,0.033,0.377,1.432,0.377,1.432,0.377,1.432,52200.00000000000000000000,52200.00000000000000000000,1404,1,5,52000.000000,52000.000000,1404,0.370220,0.242942,0.376821,52200.00000000000000000000,52200.00000000000000000000,6018,293,7,52000.000000,52000.000000,744,0.147268,0.032558,1.431863,#444d871,#600f7d1,#5de0d70,10.01,,SUCCESS,Wed Jun 14 19:25:30 2023,2,n2seq36f,DONE
n3-3,536,7465.29411764706310350448,8047.64705882353155175224,14868,15977,14868,15977,7200.001,7200.001,7200.001,7200.001,2425,9028,84,0.01961,0.49020,2181,0,0,0,366,0,8662,0.001616,2078,8584,80,0.01961,0.45098,1962,0,0,0,348,0,8236,0.001411,0,0,16001.99999133327219169587,16136.99999999837382347323,16001.99999133327219169587,16136.99999999837382347323,16001.99999133327219169587,16136.99999999837382347323,14683.90711698391896788962,14782.32192001608927967027,14683.90711698391896788962,14782.32192001608927967027,14683.90711698391896788962,14782.32192001608927967027,8258426,8700596,8258426,8700596,8258426,8700596,14868,15977,14868,15977,14868,15977,51,55,51,55,51,55,10564.03274196225902414881,10216.18741100362967699766,10564.03274196225902414881,10216.18741100362967699766,10564.03274196225902414881,10216.18741100362967699766,13627.98999030066079285461,13782.61340657356959127355,13627.98999030066079285461,13782.61340657356959127355,13627.98999030066079285461,13782.61340657356959127355,21505,24761,21505,24761,21505,24761,16.284,16.462,16.284,16.462,16.284,16.462,3032.344,6984.935,3032.344,6984.935,3032.344,6984.935,7200.001,7200.001,7200.001,7200.001,7200.001,7200.001,16001.99999133327219169587,14683.90711698391896788962,8258426,14868,51,10564.032742,13627.989990,21505,16.284240,3032.343759,7200.001196,16136.99999999837382347323,14782.32192001608927967027,8700596,15977,55,10216.187411,13782.613407,24761,16.461985,6984.935424,7200.001196,#444d871,#600f7d1,#5de0d70,10.01,,SUCCESS,Wed Jun 14 23:25:31 2023,14401,n3-3,DONE
n4-3,536,4080.88235294117885132437,4933.82352941176577587612,6692,3118,6692,3118,344.524,139.034,344.524,139.034,1236,3596,44,0.01961,0.45098,1120,0,0,0,174,0,3422,0.003158,884,2950,36,0.01961,0.41176,834,0,0,0,150,0,2800,0.003298,0,0,8992.99999998611747287214,8993.00000000016007106751,8992.99999998611747287214,8993.00000000016007106751,8992.99999998611747287214,8993.00000000016007106751,8992.99999998611747287214,8992.44358180832205107436,8992.99999998611747287214,8992.44358180832205107436,8992.99999998611747287214,8992.44358180832205107436,1102872,466218,1102872,466218,1102872,466218,6692,3118,6692,3118,6692,3118,37,49,37,49,37,49,6098.85197485849039367167,6365.61238730448167189024,6098.85197485849039367167,6365.61238730448167189024,6098.85197485849039367167,6365.61238730448167189024,7977.32858787309487524908,8262.54648506097692006733,7977.32858787309487524908,8262.54648506097692006733,7977.32858787309487524908,8262.54648506097692006733,6135,7084,6135,7084,6135,7084,2.856,2.670,2.856,2.670,2.856,2.670,75.658,107.029,75.658,107.029,75.658,107.029,344.524,139.034,344.524,139.034,344.524,139.034,8992.99999998611747287214,8992.99999998611747287214,1102872,6692,37,6098.851975,7977.328588,6135,2.855794,75.657862,344.523749,8993.00000000016007106751,8992.44358180832205107436,466218,3118,49,6365.612387,8262.546485,7084,2.670018,107.028605,139.033517,#444d871,#600f7d1,#5de0d70,10.01,,SUCCESS,Wed Jun 14 19:34:11 2023,484,n4-3,DONE
